slice_name,x_min,x_max,t_min,t_max,mu,sigma,n_entries,fit_success
Low,0.1000,0.2500,0.0500,0.2500,0.948836,0.069935,68535,1
Low,0.1000,0.2500,0.2500,0.4500,0.944745,0.070444,27144,1
Low,0.1000,0.2500,0.4500,0.6500,0.941553,0.066957,15244,1
Low,0.1000,0.2500,0.6500,0.8500,0.927629,0.063484,10741,1
Low,0.1000,0.2500,0.8500,1.0500,0.941969,0.080000,8187,1
Low,0.1000,0.2500,1.0500,1.2500,0.943146,0.080000,6482,1
MidLow,0.2500,0.3500,0.0500,0.2500,0.926480,0.074142,78858,1
MidLow,0.2500,0.3500,0.2500,0.4500,0.938370,0.076499,72138,1
MidLow,0.2500,0.3500,0.4500,0.6500,0.928362,0.067517,40800,1
MidLow,0.2500,0.3500,0.6500,0.8500,0.917752,0.068179,26692,1
MidLow,0.2500,0.3500,0.8500,1.0500,0.916496,0.080000,18770,1
MidLow,0.2500,0.3500,1.0500,1.2500,0.905013,0.080000,14406,1
MidHigh,0.3500,0.4500,0.0500,0.2500,0.864403,0.073788,19324,1
MidHigh,0.3500,0.4500,0.2500,0.4500,0.926465,0.080000,78768,1
MidHigh,0.3500,0.4500,0.4500,0.6500,0.921153,0.075770,55715,1
MidHigh,0.3500,0.4500,0.6500,0.8500,0.915985,0.080000,37867,1
MidHigh,0.3500,0.4500,0.8500,1.0500,0.906259,0.065874,26905,1
MidHigh,0.3500,0.4500,1.0500,1.2500,0.904699,0.059898,19863,1
High,0.4500,0.6000,0.0500,0.2500,0.950000,0.080000,369,1
High,0.4500,0.6000,0.2500,0.4500,0.865726,0.078069,13223,1
High,0.4500,0.6000,0.4500,0.6500,0.909446,0.080000,30452,1
High,0.4500,0.6000,0.6500,0.8500,0.913277,0.080000,28900,1
High,0.4500,0.6000,0.8500,1.0500,0.912918,0.080000,22980,1
High,0.4500,0.6000,1.0500,1.2500,0.905774,0.080000,17753,1
