this_binnum,integrated_binnum,phi_binnum,phi_width,xBmin,xBmax,Q2min,Q2max,t1min,t1max,this_bin_volume,bin_volume,xBbin,Q2bin,tbin,xB_avg_this_point,Q2_avg_this_point,t_avg_this_point,phi_avg_this_point,tmin_this_point,tcol_this_point,P1_this_point,P2_this_point,maxP1P2,minP1P2,acceptance_inb,active_bin_inb,acceptance_outb,active_bin_outb,acceptance,active_bin
0,1,0,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,6.703572092085191,-0.0048885393377208035,0.2764223501037013,-0.03199069485059822,0.9127209419091495,-0.0004933193968937195,-0.2382549767628452,0.0,0,0.0,0,0.0,0
1,1,1,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,21.61460114940839,-0.0048885393377208035,0.2764223501037013,-0.03199874407502607,0.9127289911335774,-0.0005831882225679842,-0.23556692969851442,0.0,0,5.274466521737519e-07,0,2.7260840127097243e-07,0
2,1,2,5,0.062,0.09,1.0,1.2,0.11,0.15,0.0002577603342778125,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,54.69696442154317,-0.0048885393377208035,0.2764223501037013,-0.032046867682878885,0.9127771147414302,-0.0005777225222539647,-0.23818975687925298,0.0,0,6.228639088773724e-05,0,3.217752099479743e-05,0
3,1,7,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,112.28901634886132,-0.0048885393377208035,0.2764223501037013,-0.032230172162211634,0.912960419220763,-0.0007222765830778451,-0.23737972251489345,0.0,0,0.0001463494105199863,0,7.556862937636403e-05,0
4,1,8,2,0.062,0.09,1.0,1.2,0.11,0.15,0.000103104133711125,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,134.34723253922556,-0.0048885393377208035,0.2764223501037013,-0.032333855086847225,0.9130641021453986,-0.0006490475877371757,-0.23681879802451472,0.0,0,0.00441394612200935,1,0.0022836453900060886,1
5,1,10,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,157.45534312137323,-0.0048885393377208035,0.2764223501037013,-0.03246235196673396,0.9131925990252853,-0.0008600420409499061,-0.23415448342667,0.0,0,0.008203352354775434,1,0.004190822243606127,1
6,1,11,2,0.062,0.09,1.0,1.2,0.11,0.15,0.000103104133711125,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,179.98248465696543,-0.0048885393377208035,0.2764223501037013,-0.032607192694668705,0.91333743975322,-0.0009148646835975912,-0.23968242719684202,0.0,0,0.003026212515075136,1,0.0015555984732322132,1
7,1,13,3,0.062,0.09,1.0,1.2,0.11,0.15,0.0001546562005666875,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,218.7491149847845,-0.0048885393377208035,0.2764223501037013,-0.03290167018190905,0.9136319172404603,-0.000979112514022864,-0.24026078909895063,0.0,0,5.584369329748821e-05,0,2.9179658118801917e-05,0
8,1,16,5,0.062,0.09,1.0,1.2,0.11,0.15,0.0002577603342778125,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,287.9737878986308,-0.0048885393377208035,0.2764223501037013,-0.033569668047126903,0.9142999151056782,-0.0012935935242568513,-0.23994976631500847,0.0,0,6.474236867416301e-05,0,3.337354091047347e-05,0
9,1,21,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,323.20157158928436,-0.0048885393377208035,0.2764223501037013,-0.033979498840071405,0.9147097458986228,-0.001976331785992032,-0.2372819263339438,0.0,0,0.0,0,0.0,0
10,1,22,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,338.3485537835484,-0.0048885393377208035,0.2764223501037013,-0.034170192509871834,0.9149004395684232,-0.001992987368629806,-0.24023946179159916,0.0,0,0.0,0,0.0,0
11,1,23,1,0.062,0.09,1.0,1.2,0.11,0.15,5.15520668555625e-05,0.0012372496045335,0,0,0,0.07209300305298569,1.0910397415363369,0.1301280404223409,353.30041092223297,-0.0048885393377208035,0.2764223501037013,-0.03436696294536214,0.9150972100039134,-0.002240077625012209,-0.2418337012881383,0.0,0,0.0,0,0.0,0
12,2,0,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,3.800737993740013,-0.004505805070959099,0.23988640552198612,-0.0013808443852741993,0.8121913232490171,-2.2720949837882372e-07,-0.14820233027816593,0.0,0,0.0,0,0.0,0
13,2,1,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,21.17902942232433,-0.004505805070959099,0.23988640552198612,-0.0013902222880066487,0.8122007011517496,-3.3969373440282125e-06,-0.1454694510409097,0.0,0,0.0,0,0.0,0
14,2,2,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,36.58396587114871,-0.004505805070959099,0.23988640552198612,-0.0014094450340294618,0.8122199238977724,-1.2451492758317878e-05,-0.14854158855832064,0.0,0,0.0,0,0.0,0
15,2,3,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,51.79988385462017,-0.004505805070959099,0.23988640552198612,-0.0014384965887921982,0.8122489754525352,-2.8590831846617897e-05,-0.14746781774759152,0.0,0,1.5303256892974692e-06,0,7.890352560483283e-07,0
16,2,4,3,0.062,0.09,1.0,1.2,0.15,0.25,0.00038669072920006245,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,78.4959808835526,-0.004505805070959099,0.23988640552198612,-0.0015136347414921982,0.8123241136052352,-5.249395809292747e-05,-0.15032054934180558,0.0,0,8.495268737078343e-05,0,4.381898266023854e-05,0
17,2,7,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,112.230552689361,-0.004505805070959099,0.23988640552198612,-0.001652609246760642,0.8124630881105036,-0.00014839802844895022,-0.1487891666660067,0.0,0,9.625208368182888e-05,0,4.885083431035908e-05,0
18,2,8,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,127.288217714368,-0.004505805070959099,0.23988640552198612,-0.0017305047311862826,0.8125409835949292,-0.0001922579998558851,-0.15135417528613432,0.0,0,0.00489180305712758,1,0.0025374603569196063,1
19,2,9,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,142.4071439182063,-0.004505805070959099,0.23988640552198612,-0.001818565751744867,0.8126290446154878,-0.0002472183095620766,-0.14787538716307305,0.0,0,0.018428292176810628,1,0.00936744691659041,1
20,2,10,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,157.4239139128426,-0.004505805070959099,0.23988640552198612,-0.0019157987366880168,0.8127262776004309,-0.0003020305305831781,-0.14899813353894384,0.0,0,0.02277369811596503,1,0.011734740768791116,1
21,2,11,1,0.062,0.09,1.0,1.2,0.15,0.25,0.00012889690973335417,0.0030935258336005,0,0,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,172.45799416402753,-0.004505805070959099,0.23988640552198612,-0.002022892468900757,0.8128333713326437,-0.0003664794455785821,-0.1531684804320101,0.0,0,0.012132527060178783,1,0.006253363503554626,1
