Bin	xB	xB	xB	Q2	Q2	Q2	|t|	|t|	|t|	phi	phi	phi	|t_min|	|t_col|	P1	P2	max(|P1*P2|)	min(|P1*P2|)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	RC factor	Finite bin factor	Total RC factor	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	RC factor	Finite bin factor	Total RC factor	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	RC factor	Finite bin factor	Total RC factor	Nominal Bin Volume	Filled Bin Volume	Unpolarized cross section	Unpolarized cross section	Unpolarized cross section	Polarized cross section	Polarized cross section	BH2 	BH2 	BH2 	BH2 	Int.	Int.	Int.	Int.	Int.	Int.	Int.	DVCS2	DVCS2	DVCS2	DVCS2
name	min.	max.	avg.	min. [GeV^2/c^2]	max. [GeV^2/c^2]	avg. [GeV^2/c^2]	min. [GeV^2]	max. [GeV^2]	avg. [GeV^2]	min. [deg]	max. [deg]	avg. [deg]	[GeV^2]	[GeV^2]					(FD,FD) inb.	(CD,FD) inb.	(CD,FT) inb.	(FD,FD) outb.	(CD,FD) outb.	(CD,FT) outb.	(FD,FD) inb.	(CD,FD) inb.	(CD,FT) inb.	(FD,FD) outb.	(CD,FD) outb.	(CD,FT) outb.	(FD,FD) inb. [%]	(CD,FD) inb. [%]	(CD,FT) inb. [%]	(FD,FD) outb. [%]	(FD,FD) outb. [%]	(CD,FT) outb. [%]	inb. no bkg.	inb. 45 nA	inb. 50 nA	inb. 55 nA	outb. no bkg.	outb. 40 nA	outb. 50 nA	outb. 40 nA, +1.01 torus	(all heli.)	(all heli.)	(all heli.)	(FD,FD) inb.	(CD,FD) inb.	(CD,FT) inb.	(FD,FD) outb.	(CD,FD) outb.	(CD,FT) outb.	(FD,FD) inb.	(CD,FD) inb.	(CD,FT) inb.	(FD,FD) outb.	(CD,FD) outb.	(CD,FT) outb.	inb. no bkg.	inb. 45 nA	inb. 50 nA	inb. 55 nA	outb. no bkg.	outb. 40 nA	outb. 50 nA	outb. 40 nA, +1.01 torus	(+ heli.)	(+ heli.)	(+ heli.)	(FD,FD) inb.	(CD,FD) inb.	(CD,FT) inb.	(FD,FD) outb.	(CD,FD) outb.	(CD,FT) outb.	(FD,FD) inb.	(CD,FD) inb.	(CD,FT) inb.	(FD,FD) outb.	(CD,FD) outb.	(CD,FT) outb.	inb. no bkg.	inb. 45 nA	inb. 50 nA	inb. 55 nA	outb. no bkg.	outb. 40 nA	outb. 50 nA	outb. 40 nA, +1.01 torus	(- heli.)	(- heli.)	(- heli.)	[GeV^4]	[GeV^4]	(exp.) [nb/GeV4]	(BH) [nb/GeV4]	(KM15) [nb/GeV4]	(exp.) [nb/GeV4]	(KM15) [nb/GeV4]	prefactor	c0	c1	c2	prefactor	KM15 c0	KM15 c1	KM15 c2	KM15 c3	KM15 s1	KM15 s2	prefactor	KM15 c0	KM15 c1	KM15 s1
(0, 0, 0, 6)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	90	105	97.13	0.006	0.327	-0.585	1.466	0.164	0.013	0	0	0	0	23	11	0	0	0	0	2	2	0.0	0.0	0.0	0.0	3.6	0.6	0.0000	0.0000	0.0000	0.0000	0.0043	0.0022	0.0023	0.0018	0.9734	0.9760	0.9500	0	0	0	0	12	7	0	0	0	0	0	1	0.0000	0.0000	0.0000	0.0000	0.0039	0.0023	0.0027	0.0017	0.9734	0.9767	0.9507	0	0	0	0	10	4	0	0	0	0	2	1	0.0000	0.0000	0.0000	0.0000	0.0048	0.0022	0.0020	0.0020	0.9734	0.9752	0.9492	0.0001	0.0000	7.1205e+00	2.7728e+00	3.1596e+00	1.6481e+00	4.7560e-01	5.7145e-01	4.8736e+00	2.6791e-01	-1.2193e-02	6.3228e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 7)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	105	120	112.19	0.006	0.327	-0.704	1.586	0.178	0.011	0	0	0	0	43	2	0	0	0	0	3	0	0.0	0.0	0.0	0.0	2.7	0.0	0.0000	0.0000	0.0000	0.0000	0.0103	0.0067	0.0069	0.0072	0.9691	0.9822	0.9518	0	0	0	0	24	2	0	0	0	0	3	0	0.0000	0.0000	0.0000	0.0000	0.0115	0.0066	0.0076	0.0080	0.9692	0.9826	0.9524	0	0	0	0	18	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0090	0.0069	0.0062	0.0064	0.9690	0.9817	0.9513	0.0001	0.0000	3.5078e+00	2.0985e+00	2.4932e+00	1.1844e-01	3.4086e-01	4.3891e-01	4.8736e+00	2.6791e-01	-1.2193e-02	4.8563e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 8)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	120	135	127.28	0.006	0.327	-0.812	1.693	0.182	0.018	0	0	0	0	104	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	0.5	0.0	0.0000	0.0000	0.0000	0.0000	0.0267	0.0181	0.0168	0.0182	0.9658	0.9820	0.9484	0	0	0	0	61	0	0	0	0	0	2	0	0.0000	0.0000	0.0000	0.0000	0.0276	0.0186	0.0172	0.0172	0.9655	0.9818	0.9480	0	0	0	0	40	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0259	0.0176	0.0165	0.0191	0.9660	0.9823	0.9489	0.0001	0.0000	3.3639e+00	1.6820e+00	2.0764e+00	5.3459e-01	2.3810e-01	3.5676e-01	4.8736e+00	2.6791e-01	-1.2193e-02	3.9473e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 9)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	135	150	142.31	0.006	0.327	-0.899	1.780	0.211	0.023	0	0	0	0	129	0	0	0	0	0	7	0	0.0	0.0	0.0	0.0	2.8	0.0	0.0000	0.0000	0.0000	0.0000	0.0427	0.0289	0.0265	0.0299	0.9634	0.9840	0.9479	0	0	0	0	74	0	0	0	0	0	4	0	0.0000	0.0000	0.0000	0.0000	0.0452	0.0288	0.0259	0.0297	0.9634	0.9835	0.9475	0	0	0	0	53	0	0	0	0	0	3	0	0.0000	0.0000	0.0000	0.0000	0.0403	0.0290	0.0271	0.0302	0.9633	0.9845	0.9483	0.0001	0.0000	2.5556e+00	1.4269e+00	1.8184e+00	4.6732e-01	1.5708e-01	3.0630e-01	4.8736e+00	2.6791e-01	-1.2193e-02	3.3890e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 10)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	150	165	157.39	0.006	0.327	-0.961	1.842	0.180	0.015	0	0	0	0	134	0	0	0	0	0	10	0	0.0	0.0	0.0	0.0	1.9	0.0	0.0000	0.0000	0.0000	0.0000	0.0523	0.0329	0.0301	0.0346	0.9616	0.9868	0.9489	0	0	0	0	68	0	0	0	0	0	4	0	0.0000	0.0000	0.0000	0.0000	0.0520	0.0317	0.0300	0.0358	0.9614	0.9880	0.9499	0	0	0	0	65	0	0	0	0	0	6	0	0.0000	0.0000	0.0000	0.0000	0.0526	0.0341	0.0302	0.0334	0.9618	0.9856	0.9480	0.0001	0.0000	2.6162e+00	1.2786e+00	1.6670e+00	-4.4051e-02	8.9282e-02	2.7688e-01	4.8736e+00	2.6791e-01	-1.2193e-02	3.0635e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 11)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	165	180	172.45	0.006	0.327	-0.993	1.874	0.186	0.016	0	0	0	0	87	0	0	0	0	0	4	0	0.0	0.0	0.0	0.0	1.5	0.0	0.0000	0.0000	0.0000	0.0000	0.0413	0.0256	0.0237	0.0247	0.9608	0.9856	0.9470	0	0	0	0	45	0	0	0	0	0	2	0	0.0000	0.0000	0.0000	0.0000	0.0399	0.0257	0.0232	0.0246	0.9608	0.9881	0.9494	0	0	0	0	42	0	0	0	0	0	1	0	0.0000	0.0000	0.0000	0.0000	0.0428	0.0254	0.0242	0.0249	0.9609	0.9830	0.9446	0.0001	0.0000	2.0159e+00	1.2104e+00	1.5971e+00	7.6901e-02	2.9013e-02	2.6335e-01	4.8736e+00	2.6791e-01	-1.2193e-02	2.9138e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 12)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	180	195	187.54	0.006	0.327	-0.993	1.874	0.201	0.008	0	0	0	0	68	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0000	0.0000	0.0000	0.0000	0.0252	0.0165	0.0166	0.0156	0.9609	0.9881	0.9495	0	0	0	0	35	0	0	0	0	0	1	0	0.0000	0.0000	0.0000	0.0000	0.0259	0.0161	0.0169	0.0163	0.9607	0.9911	0.9522	0	0	0	0	32	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0244	0.0168	0.0163	0.0149	0.9610	0.9852	0.9468	0.0001	0.0000	2.0055e+00	1.2104e+00	1.5971e+00	5.0189e-02	-2.8982e-02	2.6334e-01	4.8736e+00	2.6791e-01	-1.2193e-02	2.9137e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 13)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	195	210	202.61	0.006	0.327	-0.961	1.842	0.188	0.019	0	0	0	0	60	0	0	0	0	0	4	0	0.0	0.0	0.0	0.0	1.6	0.0	0.0000	0.0000	0.0000	0.0000	0.0257	0.0157	0.0147	0.0150	0.9614	0.9843	0.9463	0	0	0	0	29	0	0	0	0	0	3	0	0.0000	0.0000	0.0000	0.0000	0.0233	0.0158	0.0140	0.0134	0.9614	0.9861	0.9480	0	0	0	0	31	0	0	0	0	0	1	0	0.0000	0.0000	0.0000	0.0000	0.0281	0.0157	0.0154	0.0165	0.9615	0.9825	0.9447	0.0001	0.0000	2.1647e+00	1.2786e+00	1.6670e+00	6.5460e-03	-8.9290e-02	2.7688e-01	4.8736e+00	2.6791e-01	-1.2193e-02	3.0635e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
(0, 0, 0, 14)	0.062	0.090	0.076	1.000	1.200	1.089	0.110	0.150	0.129	210	225	217.67	0.006	0.327	-0.899	1.780	0.179	0.034	0	0	0	0	43	0	0	0	0	0	4	0	0.0	0.0	0.0	0.0	1.3	0.0	0.0000	0.0000	0.0000	0.0000	0.0119	0.0074	0.0066	0.0080	0.9632	0.9842	0.9480	0	0	0	0	19	0	0	0	0	0	3	0	0.0000	0.0000	0.0000	0.0000	0.0096	0.0067	0.0068	0.0086	0.9629	0.9817	0.9453	0	0	0	0	24	0	0	0	0	0	1	0	0.0000	0.0000	0.0000	0.0000	0.0141	0.0081	0.0064	0.0074	0.9636	0.9868	0.9509	0.0001	0.0000	3.7494e+00	1.4267e+00	1.8181e+00	-8.1518e-01	-1.5699e-01	3.0625e-01	4.8736e+00	2.6791e-01	-1.2193e-02	3.3885e-02	3.7937e+00	5.4966e+00	0.0000e+00	0.0000e+00	-7.580618e+00	0.000000e+00	3.5259e-04	3.6263e+02	0.0000e+00	0.000000e+00
