selection,variable,bin_label,x_center,x_low,x_high,pair_label,numerator_period,denominator_period,n_rows,mean_acc_num,mean_acc_den,sem_acc_num,sem_acc_den,ratio,ratio_err,mean_gen_num,mean_gen_den,mean_reco_num,mean_reco_den,mean_reco_cc_num,mean_reco_cc_den,abs_log_ratio,percent_deviation,gen_ratio,reco_ratio,reco_cc_ratio
all_data,xB,0.09-0.118,0.104,0.09,0.118,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,69,0.06617380481748436,0.043312320683341884,0.00472621034597635,0.0033075502781922663,1.527828658761642,0.1597484494100438,81585.2463768116,42785.159420289856,3294.449275362319,1245.6521739130435,3957.6701257166815,1437.264592825991,0.423847550138509,52.78286587616421,1.906858534179534,2.644758580570099,2.753612762375922
all_data,xB,0.118-0.155,0.1365,0.118,0.155,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,175,0.07260988100972211,0.046727514314528686,0.003910765390631325,0.002681332099546261,1.5538999254481205,0.12229126705212982,89559.13714285714,47180.817142857144,4964.48,1863.8742857142856,5963.9024745794395,2150.5847077037097,0.4407678518332805,55.38999254481205,1.8982108103741435,2.6635272765177294,2.7731539488846297
all_data,xB,0.155-0.204,0.1795,0.155,0.204,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,240,0.06687869998951304,0.04245293214200926,0.0033308426974459605,0.002251670529473063,1.5753611497504383,0.11461898687861213,56727.13333333333,29866.295833333334,3482.608333333333,1290.0208333333333,4183.708355590817,1488.4582603290194,0.45448454742089156,57.53611497504383,1.899369565275015,2.699652783385281,2.8107663258666187
all_data,xB,0.204-0.268,0.236,0.204,0.268,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,278,0.05951659040984611,0.0373577687709766,0.002643071270177594,0.0017898732010908599,1.5931516353322681,0.10407666163802946,37525.67985611511,19776.233812949642,2163.3489208633096,777.1294964028777,2598.8627172469082,896.6714245050513,0.4657142149302678,59.31516353322681,1.8975139660587437,2.7837688967885876,2.898344528690027
all_data,xB,0.268-0.357,0.3125,0.268,0.357,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,232,0.06110445601105656,0.04029620928533117,0.002447721789871352,0.0017125949093540545,1.5163822378027036,0.08856120659918645,23939.775862068964,12616.603448275862,1173.4224137931035,400.2715517241379,1409.6495176431515,461.8433145758532,0.416327391193065,51.638223780270366,1.8974818349656923,2.9315658550768338,3.052224581702006
all_data,xB,0.357-0.446,0.40149999999999997,0.357,0.446,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,196,0.07369425626374333,0.05599936233177297,0.0026057918794021263,0.002463198920282592,1.3159838468719602,0.07426953365377573,8030.0459183673465,4243.311224489796,432.3673469387755,158.46428571428572,519.4092211743377,182.84005106264132,0.27458455841439017,31.598384687196024,1.8924008854271248,2.7284844972471745,2.8407847085778117
all_data,xB,0.446-0.581,0.5135,0.446,0.581,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,86,0.09301494476554535,0.0827451878702907,0.004449995790268647,0.004161784204872322,1.1241130410067262,0.07803124294455807,3527.1046511627906,1858.5581395348838,267.0581395348837,117.67441860465117,320.8208511725605,135.77568352046825,0.11699431670532832,12.411304100672616,1.8977639580570083,2.2694664031620553,2.3628741380940763
all_data,xB,0.062-0.09,0.076,0.062,0.09,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,52,0.10331222322151537,0.08204865518988269,0.00633906956899154,0.005392209380615953,1.2591580322970932,0.11321170096306617,55171.17307692308,49140.019230769234,4080.173076923077,2761.75,4899.584227866347,3550.0732395757123,0.23044326926368106,25.915803229709322,1.1227340554717857,1.4773868296996748,1.3801360978265118
all_data,xB,0.09-0.118,0.104,0.09,0.118,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,139,0.1020217933839146,0.08250115450772944,0.004107788345037739,0.003506889948116179,1.236610493424747,0.07240283150215192,72799.71942446043,64806.482014388486,4820.884892086331,3322.5107913669067,5789.051380005,4270.899483525439,0.21237416381289997,23.661049342474705,1.1233400913244647,1.450976443662048,1.355464206623377
all_data,xB,0.118-0.155,0.1365,0.118,0.155,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,212,0.1029446919918354,0.0834284176593797,0.003629702742054473,0.003062892886279832,1.2339283769247125,0.06280940335436827,88928.4103773585,79396.38679245283,6894.88679245283,4824.495283018868,8279.569994783546,6201.615496948382,0.2102028824087071,23.392837692471247,1.1200561381945877,1.4291415760569344,1.335066644950442
all_data,xB,0.155-0.204,0.1795,0.155,0.204,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,250,0.09437768942229559,0.076330772538224,0.002978133632982685,0.002534960093322897,1.2364304235887862,0.0566423583605974,58962.16,52653.752,5054.48,3516.028,6069.558820464088,4519.654897218936,0.21222853756382315,23.643042358878617,1.119809277788979,1.4375539671470192,1.3429252804675087
