# CLAS12 preliminary neutron DVCS unpolarized cross sections
# Source: "Measurement of Deeply Virtual Compton Scattering Cross-Section on the Neutron at the CLAS12 Experiment"
# Analysis note version 0.0, April 22, 2026; Tables A.1-A.9.
#
# Reaction: e n -> e n gamma, extracted from liquid-deuterium RGA data.
# The table values below are the mean kinematics and unpolarized cross sections
# quoted in the note.  The first quoted uncertainty is statistical and the
# second is systematic.
#
# Cross-section units in the note: pb/GeV^4.
# Convenience nb/GeV^4 columns are also included for direct use with the
# existing Gepard-based analysis machinery.
#
# The note combines data taken at several beam energies and quotes an average
# beam energy of about 10.45 GeV.  The neutron analysis mode therefore uses
# Ebeam = 10.45 GeV by default.
#
# IMPORTANT PRELIMINARY-ANALYSIS CAVEATS:
# - The note states that radiative corrections were still under development and
#   were not yet included in this iteration.
# - The bin-integral/bin-centering correction is obtained from a Bethe-Heitler
#   calculation because BH is expected to dominate much of the kinematics.
# - The published table gives a total per-point systematic uncertainty but does
#   not provide a covariance matrix or a clean correlated/point-to-point split.
#   The exploratory neutron-radius mode therefore treats the quoted systematic
#   uncertainty point-by-point and does not invent an additional normalization
#   nuisance.
#
# Columns:
# kin_bin phi_deg Q2_GeV2 xB t_abs_GeV2 xs_pb_GeV4 stat_pb_GeV4 sys_pb_GeV4 xs_nb_GeV4 stat_nb_GeV4 sys_nb_GeV4
0 16 1.42 0.115 0.183 837.58 53.53 78.67 0.83758 0.05353 0.07867
0 45.5 1.48 0.107 0.186 370.54 18.74 41.64 0.37054 0.01874 0.04164
0 78.2 1.51 0.103 0.184 280.77 24.94 60.62 0.28077 0.02494 0.06062
0 137.3 1.49 0.103 0.184 98.29 7.54 22.25 0.09829 0.00754 0.02225
0 222.7 1.49 0.103 0.184 99.1 8.79 22.44 0.0991 0.00879 0.02244
0 281.8 1.51 0.103 0.184 206.18 13.11 44.51 0.20618 0.01311 0.04451
0 314.5 1.48 0.107 0.186 372.17 17.83 41.82 0.37217 0.01783 0.04182
0 344 1.42 0.115 0.183 843.93 59.29 79.27 0.84393 0.05929 0.07927
1 14.7 1.79 0.153 0.188 179.92 7.19 27.08 0.17992 0.00719 0.02708
1 44.3 1.92 0.153 0.186 112.09 5.9 21.65 0.11209 0.0059 0.02165
1 78.4 1.93 0.153 0.185 84.52 7.88 19.48 0.08452 0.00788 0.01948
1 136.6 1.88 0.152 0.185 20.07 1.58 4.71 0.02007 0.00158 0.00471
1 223.4 1.88 0.152 0.185 22.44 2.64 5.27 0.02244 0.00264 0.00527
1 281.6 1.93 0.153 0.185 55.78 7.28 12.86 0.05578 0.00728 0.01286
1 315.7 1.92 0.153 0.186 104.4 6.13 20.17 0.1044 0.00613 0.02017
1 345.3 1.79 0.153 0.188 169.12 6.82 25.46 0.16912 0.00682 0.02546
2 14.7 2.63 0.239 0.19 22.42 0.89 3.75 0.02242 0.00089 0.00375
2 44.1 2.67 0.238 0.189 20.58 1.08 3.67 0.02058 0.00108 0.00367
2 77.8 2.59 0.235 0.189 15.09 0.99 3.51 0.01509 0.00099 0.00351
2 132.9 2.6 0.224 0.187 10.03 0.75 2.23 0.01003 0.00075 0.00223
2 227.1 2.6 0.224 0.187 9.22 0.91 2.05 0.00922 0.00091 0.00205
2 282.2 2.59 0.235 0.189 12.37 1.41 2.88 0.01237 0.00141 0.00288
2 315.9 2.67 0.238 0.189 20.11 1.44 3.59 0.02011 0.00144 0.00359
2 345.3 2.63 0.239 0.19 19.69 0.86 3.29 0.01969 0.00086 0.00329
3 19.3 1.38 0.117 0.347 840.2 71.85 96.74 0.8402 0.07185 0.09674
3 44.9 1.48 0.106 0.361 165.01 9.59 19.79 0.16501 0.00959 0.01979
3 77.8 1.5 0.103 0.351 104.9 9 27.47 0.1049 0.009 0.02747
3 137.6 1.48 0.103 0.352 17.78 2.09 5.27 0.01778 0.00209 0.00527
