beam_energy_MeV,theta_deg,Q2_GeV2,GE,GE_stat,GE_syst,GE_total,beam_energy_GeV,source,normalization_note
1101,0.7625,0.000215,0.99779,0.00098,0.00253,0.0027131715758499314,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.7875,0.000229,1.0005,0.00103,0.00252,0.00272237029075767,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.8125,0.000244,1.0004,0.0011,0.00244,0.002676490239100453,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.8375,0.000259,0.99895,0.00117,0.0026,0.00285112258592997,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.8625,0.000275,1.0007,0.00125,0.00222,0.002547724474899121,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.8875,0.000291,1.0004,0.00131,0.00228,0.002629543686649834,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.92,0.000312,0.99825,0.00111,0.00236,0.0026080069018313582,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.9575,0.000338,0.99783,0.00124,0.00258,0.002862516375499012,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,0.9945,0.000365,0.99942,0.00122,0.00211,0.0024373140954747708,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,1.0355,0.000396,0.99846,0.00119,0.00265,0.002904926849337174,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
