
xB     Q2     -t     phi    sig              stat-err        sys-err

0.125  1.129  0.108  67.2   4.8336           0.331067        0.869408
0.124  1.128  0.108  82.1   4.48089          0.230636        0.26792
0.124  1.128  0.108  97.1   3.67356          0.19945         0.259276
0.124  1.128  0.108  112.2  2.72219          0.174966        0.288682
0.124  1.129  0.108  127.3  2.60113          0.188421        0.235225
0.124  1.129  0.108  142.3  2.22732          0.139138        0.165856
0.124  1.129  0.108  157.4  2.54805          0.174241        0.194695
0.124  1.129  0.108  172.5  2.01117          0.173697        0.123878
0.124  1.129  0.108  187.5  1.66588          0.128305        0.11428
0.124  1.129  0.108  202.6  1.86272          0.124161        0.132976
0.124  1.129  0.108  217.7  2.34963          0.151554        0.226496
0.124  1.129  0.108  232.7  2.44595          0.187047        0.175893
0.124  1.128  0.108  247.8  2.6125           0.158756        0.175341
0.124  1.128  0.108  262.9  3.55218          0.177906        0.242733
0.124  1.128  0.108  277.9  4.96439          0.23777         0.338018
0.125  1.129  0.108  292.8  6.39821          0.4466          0.580949
0.124  1.128  0.153  66.9   3.80592          0.219598        0.240585
0.124  1.129  0.153  82     2.63145          0.122765        0.165785
0.124  1.129  0.152  97.1   1.75876          0.081886        0.131429
0.125  1.129  0.152  112.2  1.42657          0.0803615       0.0981944
0.125  1.129  0.152  127.3  1.24548          0.0820918       0.202015
0.124  1.13   0.152  142.3  1.12764          0.0663176       0.0780655
0.124  1.13   0.152  157.4  1.19873          0.0720936       0.0906194
0.124  1.13   0.152  172.5  0.963089         0.0669704       0.0692636
0.124  1.13   0.152  187.5  1.27667          0.0983519       0.12839
0.124  1.13   0.152  202.6  1.12918          0.0682252       0.0785955
0.124  1.13   0.152  217.7  1.05369          0.0571811       0.0751182
0.125  1.129  0.152  232.7  1.39869          0.0913579       0.122185
0.125  1.129  0.152  247.8  1.72504          0.101823        0.134458
0.124  1.129  0.152  262.9  1.76737          0.0789149       0.11684
0.124  1.129  0.153  278    2.52607          0.108515        0.151675
0.124  1.128  0.153  293.1  3.70304          0.200294        0.252744
0.125  1.129  0.203  66.9   2.13446          0.129663        0.299184
0.125  1.129  0.203  82     1.88119          0.110114        0.214335
0.125  1.129  0.203  97.1   1.09051          0.0606343       0.070694
0.125  1.13   0.203  112.2  1.13044          0.0769841       0.0883188
0.125  1.13   0.203  127.3  0.886268         0.076002        0.0534695
0.125  1.13   0.203  142.3  0.851656         0.067449        0.0597237
0.125  1.13   0.203  172.5  0.781567         0.0726934       0.0573084
0.125  1.13   0.203  187.5  0.643847         0.0602339       0.0731341
0.125  1.13   0.203  202.6  0.625088         0.0465682       0.0552798
0.125  1.13   0.203  217.7  0.780167         0.0560316       0.0568255
0.125  1.13   0.203  232.7  0.921865         0.0762841       0.064901
0.125  1.13   0.203  247.8  0.923924         0.0663036       0.0620536
0.125  1.129  0.203  262.9  1.23309          0.0692748       0.080133
0.125  1.129  0.203  278    1.47586          0.0738111       0.100911
0.125  1.129  0.203  293.1  2.88643          0.165375        0.181995
0.125  1.129  0.263  52.1   3.32365          0.237301        0.204194
0.125  1.129  0.262  66.9   1.67023          0.0980865       0.102681
0.125  1.13   0.261  82     1.06913          0.061701        0.0765821
0.125  1.13   0.261  97.1   0.780458         0.0434604       0.0487859
0.125  1.13   0.261  112.2  0.720677         0.0504269       0.050215
0.125  1.13   0.261  127.2  0.590171         0.055665        0.0448401
0.125  1.13   0.261  142.3  0.604116         0.0532185       0.0414793
0.125  1.131  0.261  157.4  0.453047         0.0367427       0.0311532
0.125  1.131  0.261  172.5  0.430993         0.0393336       0.0369379
0.125  1.131  0.261  187.5  0.461143         0.0482433       0.039574
0.125  1.131  0.261  202.6  0.40646          0.0338901       0.0299776
0.125  1.13   0.261  217.7  0.47978          0.0370265       0.034939
0.125  1.13   0.261  232.8  0.516162         0.0400076       0.0575079
0.125  1.13   0.261  247.8  0.640022         0.0514851       0.048953
0.125  1.13   0.261  262.9  0.75071          0.043088        0.0490769
0.125  1.13   0.261  278    1.11892          0.0588015       0.0791653
0.125  1.129  0.262  293.1  1.58164          0.0803197       0.0977619
0.125  1.129  0.263  307.9  1.95523          0.144641        0.200922
0.125  1.13   0.34   51.7   1.46259          0.0723992       0.0918339
0.125  1.13   0.34   66.9   0.888656         0.0488724       0.0557754
0.125  1.13   0.34   82     0.673452         0.0424445       0.0501536
0.125  1.13   0.34   97.1   0.395096         0.0245319       0.0266732
0.125  1.131  0.34   112.2  0.352406         0.0256813       0.0246702
0.125  1.131  0.34   127.2  0.260838         0.0249399       0.0264029
0.125  1.131  0.34   142.3  0.246555         0.0241467       0.0199389
0.125  1.131  0.34   157.4  0.234094         0.021329        0.0216625
0.125  1.131  0.34   172.5  0.270297         0.0268189       0.0185106
0.125  1.131  0.34   187.5  0.191583         0.0206747       0.0379855
0.125  1.131  0.34   217.7  0.293611         0.0265269       0.0178094
0.125  1.131  0.34   232.8  0.333625         0.0321128       0.0336783
0.125  1.131  0.34   247.8  0.341955         0.0342719       0.0277578
0.125  1.13   0.34   262.9  0.371941         0.025089        0.0277056
0.125  1.13   0.34   278    0.695075         0.0400256       0.0448194
0.125  1.13   0.34   293.1  0.963737         0.0495937       0.0655101
0.125  1.13   0.34   308.3  1.22134          0.0695217       0.0814237
0.125  1.126  0.451  37.5   1.41373          0.0928492       0.0944686
0.125  1.13   0.446  51.8   0.817795         0.0369567       0.0509095
0.125  1.13   0.446  66.9   0.496174         0.0333689       0.032749
0.125  1.131  0.446  82     0.307991         0.0248439       0.0292446
0.125  1.131  0.446  97.1   0.218145         0.01602         0.0176416
0.125  1.131  0.446  112.2  0.188129         0.0146499       0.0199989
0.125  1.131  0.446  127.2  0.179253         0.0188259       0.0132623
0.125  1.131  0.446  142.3  0.136888         0.0154402       0.0153123
0.125  1.131  0.446  157.4  0.153828         0.015122        0.0115283
0.125  1.131  0.446  172.5  0.133635         0.0132071       0.0114296
0.125  1.131  0.446  187.5  0.118516         0.014544        0.0116298
0.125  1.131  0.446  202.6  0.108608         0.0115807       0.0110748
0.125  1.131  0.446  217.7  0.176032         0.0173846       0.0163141
0.125  1.131  0.446  232.8  0.151473         0.0151737       0.0110768
0.125  1.131  0.446  247.8  0.145533         0.0145597       0.0124714
0.125  1.131  0.446  262.9  0.228118         0.0176657       0.0165579
0.125  1.131  0.446  278    0.293826         0.0185736       0.0190362
0.125  1.13   0.446  293.1  0.386997         0.0220016       0.0246834
0.125  1.13   0.446  308.2  0.662957         0.0385868       0.0421323
0.125  1.126  0.451  322.5  1.39112          0.0997755       0.0852932
0.125  1.125  0.615  22.9   0.910076         0.0689247       0.0603692
0.126  1.131  0.602  36.7   0.499811         0.0211358       0.0310921
0.125  1.131  0.603  51.8   0.352064         0.0192146       0.0227523
0.125  1.131  0.603  82     0.155004         0.016645        0.0143458
0.125  1.131  0.603  97.1   0.0851452        0.00785534      0.00994675
0.125  1.131  0.603  112.1  0.0902671        0.00872615      0.00895172
0.125  1.132  0.603  127.2  0.0692883        0.00821155      0.0104882
0.125  1.132  0.603  142.3  0.0594447        0.00959979      0.00758292
0.125  1.132  0.603  157.4  0.0694979        0.00836366      0.00453562
0.125  1.132  0.603  172.5  0.0780492        0.012202        0.00543417
0.125  1.132  0.603  187.5  0.0549715        0.0101629       0.00650007
0.125  1.132  0.603  202.6  0.0451041        0.00672662      0.00355275
0.125  1.132  0.603  217.7  0.0612732        0.00656281      0.00646752
0.125  1.132  0.603  232.8  0.06267          0.0068332       0.00651844
0.125  1.131  0.603  262.9  0.0960418        0.00958596      0.00765408
0.125  1.131  0.603  278    0.185771         0.0150603       0.0135877
0.125  1.131  0.603  293.1  0.215698         0.0158616       0.0198476
