CLAS physics database search results
Measurement E214M1
CLAS12 RG-A DVCS
Sangbaek Lee, Timothy B. Hayward, Latifa Elouadrhiri and Richard G. Milner
2026

bin	x	Q^2	t_average	phi	d4sigma/dQ2 dxb dt dphi	Stat. error	Syst. error
		GeV2	GeV	deg	nb/GeV4	nb/GeV4	nb/GeV4
1	0.072	1.091	0.13	157.5	2.9603	0.55649	1.046
1	0.072	1.091	0.13	180	2.59	0.594	0.92896
2	0.069	1.093	0.207	127.3	2.1964	0.42593	0.88295
2	0.069	1.093	0.207	142.4	1.9759	0.20282	0.72367
2	0.069	1.093	0.207	157.4	1.8605	0.18079	0.61415
2	0.069	1.093	0.207	172.5	1.4732	0.19797	0.53652
2	0.069	1.093	0.207	195.2	1.4365	0.2942	0.53822
3	0.076	1.094	0.314	127.3	0.51597	0.12426	0.20529
3	0.076	1.094	0.314	142.4	0.51082	0.060398	0.20564
3	0.076	1.094	0.314	157.4	0.48294	0.05002	0.15778
3	0.076	1.094	0.314	172.4	0.4339	0.057467	0.14405
3	0.076	1.094	0.314	195.2	0.28917	0.073241	0.10933
3	0.076	1.094	0.314	256.2	0.73251	0.11444	0.2698
4	0.084	1.085	0.446	36.5	1.485	0.16671	0.61838
4	0.084	1.085	0.446	134.4	0.16014	0.030119	0.060949
4	0.084	1.085	0.446	172.2	0.14514	0.017621	0.049679
4	0.084	1.085	0.446	240.9	0.17433	0.044043	0.081111
4	0.084	1.085	0.446	262.8	0.27809	0.04542	0.093736
4	0.084	1.085	0.446	287.1	0.41448	0.059728	0.18674
4	0.084	1.085	0.446	308.2	0.63601	0.10583	0.25852
4	0.084	1.085	0.446	323.5	1.5314	0.16772	0.71416
5	0.079	1.086	0.681	6.7	3.4177	0.76755	1.5084
5	0.079	1.086	0.681	21.5	1.2507	0.24522	0.4606
5	0.079	1.086	0.681	36.6	0.695	0.081253	0.27085
5	0.079	1.086	0.681	62.3	0.18582	0.034052	0.066363
5	0.079	1.086	0.681	149.7	0.055755	0.014861	0.020739
5	0.079	1.086	0.681	180	0.056282	0.01688	0.021833
5	0.079	1.086	0.681	240.8	0.11514	0.031141	0.044223
5	0.079	1.086	0.681	271.5	0.10618	0.023791	0.03869
5	0.079	1.086	0.681	318.2	0.38925	0.047491	0.14623
5	0.079	1.086	0.681	338.5	1.3213	0.22727	0.64976
5	0.079	1.086	0.681	353.2	2.9456	0.68152	1.3447
6	0.079	1.296	0.215	119.1	1.1718	0.22885	0.38794
6	0.079	1.296	0.215	142.4	1.085	0.15037	0.3629
6	0.079	1.296	0.215	157.4	0.88152	0.11847	0.29173
6	0.079	1.296	0.215	180	1.0504	0.16204	0.47004
7	0.084	1.301	0.309	119.1	0.46244	0.10953	0.22724
7	0.084	1.301	0.309	142.4	0.34016	0.054689	0.11834
7	0.084	1.301	0.309	157.4	0.41076	0.054343	0.13446
7	0.084	1.301	0.309	180	0.31066	0.052914	0.10406
7	0.084	1.301	0.309	256.2	0.53171	0.096973	0.17736
7	0.084	1.301	0.309	287.1	0.95738	0.16481	0.47918
8	0.086	1.271	0.455	36.6	1.302	0.13771	0.44772
8	0.086	1.271	0.455	51.8	0.74933	0.091024	0.36974
8	0.086	1.271	0.455	134.4	0.18271	0.03661	0.067398
8	0.086	1.271	0.455	157.4	0.16081	0.031829	0.056545
8	0.086	1.271	0.455	180	0.16489	0.033358	0.060226
8	0.086	1.271	0.455	240.8	0.17833	0.04744	0.065574
8	0.086	1.271	0.455	262.8	0.21838	0.050678	0.080755
8	0.086	1.271	0.455	287	0.31921	0.071014	0.16011
9	0.101	1.101	0.129	126.1	1.2765	0.287	0.44619
9	0.101	1.101	0.129	180	0.84109	0.18487	0.31367
10	0.101	1.1	0.198	119.3	0.79612	0.1758	0.29433
10	0.101	1.1	0.198	142.4	0.58529	0.10718	0.21191
10	0.101	1.1	0.198	157.4	0.64178	0.11409	0.24232
10	0.101	1.1	0.198	172.5	0.66707	0.14775	0.22187
10	0.101	1.1	0.198	195.1	0.39154	0.078804	0.14483
11	0.1	1.101	0.33	134.5	0.18766	0.040251	0.07208
11	0.1	1.101	0.33	157.5	0.21912	0.047887	0.084627
11	0.1	1.101	0.33	172.5	0.15399	0.041053	0.06754
11	0.1	1.101	0.33	195.1	0.17685	0.042593	0.070919
12	0.101	1.096	0.516	57.3	0.3425	0.087105	0.16839
12	0.101	1.096	0.516	141.8	0.085494	0.020314	0.037918
12	0.101	1.096	0.516	187.6	0.071511	0.018856	0.031727
12	0.101	1.096	0.516	265	0.14686	0.027626	0.06378
12	0.101	1.096	0.516	323.6	0.6013	0.13382	0.24772
13	0.11	1.103	0.648	20.8	2.2581	0.7078	1.1203
13	0.11	1.103	0.648	67.3	0.089939	0.027197	0.036279
13	0.11	1.103	0.648	164.1	0.036937	0.013707	0.016504
13	0.11	1.103	0.648	275	0.075643	0.021094	0.027495
14	0.101	1.335	0.129	119.2	1.5997	0.26417	0.55671
14	0.101	1.335	0.129	142.4	0.77398	0.14295	0.30206
14	0.101	1.335	0.129	164.8	0.77191	0.12352	0.28851
14	0.101	1.335	0.129	195.1	0.83302	0.18282	0.28254
15	0.1	1.337	0.198	103.9	1.285	0.31302	0.53338
15	0.1	1.337	0.198	127.3	0.74411	0.085487	0.24347
15	0.1	1.337	0.198	142.4	0.66551	0.058176	0.22092
15	0.1	1.337	0.198	157.4	0.46881	0.043691	0.16846
15	0.1	1.337	0.198	172.5	0.57261	0.064589	0.18647
15	0.1	1.337	0.198	187.5	0.60291	0.082362	0.21113
15	0.1	1.337	0.198	202.5	0.55468	0.10525	0.19225
16	0.096	1.359	0.344	119.2	0.22488	0.040484	0.089948
16	0.096	1.359	0.344	142.4	0.20847	0.023679	0.069512
16	0.096	1.359	0.344	157.4	0.20545	0.02132	0.069329
16	0.096	1.359	0.344	172.5	0.19819	0.023075	0.065617
16	0.096	1.359	0.344	187.5	0.20519	0.034177	0.071743
16	0.096	1.359	0.344	210.4	0.11614	0.032174	0.048606
16	0.096	1.359	0.344	256.1	0.36742	0.068027	0.13041
16	0.096	1.359	0.344	277.9	0.39893	0.06457	0.13778
16	0.096	1.359	0.344	293.1	0.52166	0.086716	0.19357
17	0.103	1.317	0.494	20.8	2.168	0.27973	0.99887
17	0.103	1.317	0.494	36.4	0.78701	0.063492	0.29342
17	0.103	1.317	0.494	51.7	0.3106	0.04163	0.10805
17	0.103	1.317	0.494	73	0.27088	0.078127	0.11513
17	0.103	1.317	0.494	119.3	0.10709	0.033944	0.042344
17	0.103	1.317	0.494	142.4	0.077691	0.013964	0.029815
17	0.103	1.317	0.494	157.5	0.068298	0.011194	0.022738
17	0.103	1.317	0.494	172.5	0.073285	0.012367	0.025444
17	0.103	1.317	0.494	187.5	0.064693	0.017413	0.025832
17	0.103	1.317	0.494	256	0.08415	0.014127	0.03289
17	0.103	1.317	0.494	277.9	0.14746	0.020447	0.059113
17	0.103	1.317	0.494	293.1	0.2339	0.034683	0.078742
17	0.103	1.317	0.494	308.3	0.32558	0.04751	0.12648
17	0.103	1.317	0.494	323.6	0.71796	0.057149	0.28607
17	0.103	1.317	0.494	339.1	2.4525	0.29025	0.82396
18	0.11	1.299	0.652	21	0.91303	0.12315	0.33433
18	0.11	1.299	0.652	36.4	0.31752	0.03623	0.12635
18	0.11	1.299	0.652	51.7	0.13558	0.031935	0.050586
18	0.11	1.299	0.652	73.1	0.09455	0.019891	0.039065
18	0.11	1.299	0.652	149.7	0.037111	0.0084533	0.015838
18	0.11	1.299	0.652	249.3	0.042787	0.0092167	0.016623
18	0.11	1.299	0.652	286.9	0.071556	0.014544	0.026869
18	0.11	1.299	0.652	318.7	0.21246	0.024392	0.07656
18	0.11	1.299	0.652	339	0.98316	0.11778	0.37469
19	0.104	1.628	0.129	36.9	6.5857	0.7781	3.3323
19	0.104	1.628	0.129	52	4.6323	0.61204	2.2685
19	0.104	1.628	0.129	67.1	3.8112	0.41643	1.5464
19	0.104	1.628	0.129	82.2	2.2957	0.33453	1.0124
19	0.104	1.628	0.129	103.9	1.5494	0.36718	0.69031
19	0.104	1.628	0.129	127.3	0.96429	0.18236	0.37166
19	0.104	1.628	0.129	142.4	0.91605	0.14108	0.30986
19	0.104	1.628	0.129	157.4	0.50064	0.097358	0.18952
19	0.104	1.628	0.129	180	0.80959	0.15989	0.28896
19	0.104	1.628	0.129	271.3	1.8708	0.30656	0.67438
19	0.104	1.628	0.129	292.9	3.3984	0.39786	1.2697
19	0.104	1.628	0.129	308	4.4215	0.42692	1.647
19	0.104	1.628	0.129	338.1	11.77	2.0504	4.54
20	0.103	1.625	0.201	36.7	4.1924	0.38271	1.4762
20	0.103	1.625	0.201	51.9	2.0472	0.17515	0.78293
20	0.103	1.625	0.201	67	1.6259	0.12805	0.65432
20	0.103	1.625	0.201	82.1	1.4039	0.15187	0.46619
20	0.103	1.625	0.201	112.3	0.67841	0.12995	0.30296
20	0.103	1.625	0.201	127.3	0.57919	0.058119	0.2021
20	0.103	1.625	0.201	142.4	0.48583	0.040703	0.16532
20	0.103	1.625	0.201	157.4	0.48062	0.038868	0.15756
20	0.103	1.625	0.201	172.5	0.43685	0.049668	0.15738
20	0.103	1.625	0.201	195.2	0.49628	0.076011	0.21023
20	0.103	1.625	0.201	271.4	1.0677	0.12467	0.41823
20	0.103	1.625	0.201	293	1.2995	0.10801	0.43021
20	0.103	1.625	0.201	308.1	2.1384	0.15595	0.69179
