run,charge_nC,twopion_events,ratio
5032,0,0,0
5036,169256,12276,0.0725293
5038,379665,28463,0.0749687
5039,96867,7288,0.0752372
5040,148385,11385,0.0767259
5041,176654,13369,0.075679
5043,138575,10631,0.0767166
5045,140598,10807,0.0768647
5052,31329.7,2306,0.0736042
5053,52127.3,3713,0.0712295
5116,0,0,0
5117,0,0,0
5119,0,0,0
5120,78469.2,5789,0.0737742
5124,397190,28980,0.0729626
5125,396821,29184,0.0735445
5126,397631,28983,0.0728892
5127,0,0,0
5139,140419,10338,0.0736225
5153,69118.9,5026,0.0727153
5158,12526.6,891,0.0711288
5162,79813.8,5763,0.0722056
5163,38357.7,2591,0.0675484
5164,6592.62,445,0.0674997
5181,20004.6,1526,0.0762826
5191,431957,30452,0.0704978
5193,152602,10958,0.0718075
5195,76574.2,5508,0.0719303
5196,412109,28933,0.0702072
5197,414492,29786,0.0718614
5198,411692,28463,0.0691366
5199,412228,28714,0.0696557
5200,153306,10645,0.0694362
5201,81007.1,5725,0.0706728
5202,412689,28621,0.0693524
5203,414306,29102,0.0702428
5204,400698,27811,0.0694064
5205,90771.3,6304,0.0694493
5206,288599,20080,0.0695776
5208,332956,23669,0.0710874
5211,88950.8,6229,0.0700275
5212,400508,28956,0.0722982
5215,0,0,0
5216,165645,11919,0.0719552
5219,385882,27430,0.0710839
5220,350596,25277,0.0720972
5221,389903,28212,0.0723564
5222,388333,28094,0.0723451
5223,136872,10199,0.0745151
5230,385677,27081,0.0702167
5231,392511,27891,0.0710578
5232,389981,27746,0.0711471
5233,388346,27112,0.069814
5234,392376,27402,0.0698361
5235,147647,10283,0.069646
5237,155999,11001,0.0705198
5238,315192,22444,0.0712075
5248,401741,28351,0.0705703
5249,403587,28866,0.0715237
5252,248740,17520,0.0704351
5253,91173.9,6516,0.0714678
5257,399907,28480,0.0712166
5258,399967,28362,0.0709108
5259,151000,10923,0.0723378
5261,401690,29090,0.072419
5262,184254,13442,0.0729535
5303,390527,27723,0.0709887
5304,376063,27352,0.0727325
5305,145600,10567,0.0725757
5306,373214,26946,0.0721998
5307,44172.3,3302,0.0747527
5310,97098,6955,0.0716287
5311,128559,9246,0.0719202
5315,89998.7,6362,0.0706899
5317,373598,26606,0.0712156
5318,374200,26589,0.0710556
5319,379264,27019,0.0712406
5320,186600,13397,0.0717951
5323,24507.2,1769,0.072183
5324,31133.4,2305,0.0740363
5335,13040.1,904,0.0693244
5339,88032.9,6359,0.0722344
5340,37238.6,2653,0.0712432
5342,116117,8100,0.069757
5343,59859.8,4221,0.0705148
5344,152440,11510,0.0755051
5345,379591,27742,0.073084
5346,381442,27406,0.0718485
5347,179007,11293,0.0630871
5349,240446,17264,0.0718
5351,52497.6,3649,0.069508
5354,379301,26943,0.0710333
5355,170209,12062,0.0708657
5356,376847,24769,0.0657269
5357,376875,26076,0.0691901
5358,382813,26525,0.0692897
5359,381920,26703,0.0699177
5360,379021,26342,0.0695001
5361,373889,26283,0.0702962
5362,26530.8,1940,0.0731225
5366,393405,28097,0.07142
5367,373673,26207,0.0701336
5368,327086,22698,0.0693945
5369,94483.9,6801,0.0719805
5372,369375,25404,0.0687757
5373,361563,24700,0.0683145
5374,382763,25800,0.0674046
5375,389415,25862,0.0664124
5376,290325,19270,0.0663739
5377,0,0,0
5378,36987.1,2527,0.0683211
5379,388154,26004,0.066994
5380,357922,23662,0.0661094
5381,372225,24812,0.0666587
5383,281845,18492,0.0656105
5386,186787,12154,0.0650686
5390,0,0,0
5391,365195,23716,0.0649406
5392,198227,13102,0.0660959
5393,364419,23978,0.0657978
5398,40712.3,2715,0.0666874
5401,31997.9,2062,0.0644418
5403,0,0,0
5404,0,0,0
5406,180061,11411,0.063373
5407,416039,27855,0.0669529
