,xBQ2t_binnum,xBmin,xBmax,Q2min,Q2max,tmin,tmax,phimin,phimax,xB_binnum,Q2_binnum,t_binnum,phi_binnum,phi_binwidth,xB,Q2,t,phi,val,stat_err,syst_err_pointtopoint,syst_err_total,Syst. err (pi0 subtraction),Syst. err (Acceptance),Syst.err (exclusivity),Syst.err (fiducial),Syst.err (smearing),Syst.err (Frad),Syst.err (Fbin),Syst.err (Frad*Fbin)
5,1,0.062,0.09,1.0,1.2,0.11,0.15,150,165,0,0,0,10,1,0.07209300305298569,1.0910397415363369,0.1301280404223409,157.45534312137323,2.960254058962089,0.5564923577673614,0.4817046668474912,1.0561019139744372,0.025432361124480628,0.2674158092088681,0.21089021532869204,0.15855230195232464,0.2999114134291845,0.016720763063601533,0.00494544307794857,0.017916327039835256
6,1,0.062,0.09,1.0,1.2,0.11,0.15,165,195,0,0,0,11,2,0.07209300305298569,1.0910397415363369,0.1301280404223409,179.98248465696543,2.590011960447935,0.5940048210608363,0.45068293801124226,0.9377051382487874,0.028290776483790664,0.11248011570130421,0.17728298089345948,0.37823465851293275,0.12208159393520712,0.013098913645818859,0.006230727106839249,0.016381036584547638
18,2,0.062,0.09,1.0,1.2,0.15,0.25,120,135,0,0,1,8,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,127.288217714368,2.1963906485898472,0.4259319480164401,0.5523263698004668,0.8895684029614517,0.009885607978774498,0.11839784327772497,0.13121036578881312,0.4864987487033022,0.19018875597672322,0.01669026640574238,0.016298576996242552,0.029659547514226173
19,2,0.062,0.09,1.0,1.2,0.15,0.25,135,150,0,0,1,9,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,142.4071439182063,1.9759220914673308,0.20282482698446158,0.37370421178189767,0.7302061641423445,0.008051369106508893,0.052970222807069596,0.021957097139458016,0.34790728705244767,0.12206439011611464,0.007676586871469128,0.01372298160544223,0.019048858795337086
20,2,0.062,0.09,1.0,1.2,0.15,0.25,150,165,0,0,1,10,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,157.4239139128426,1.8604726866442558,0.1807857653268117,0.1915898240109554,0.6209734649196386,0.01138805691606659,0.05030721057579983,0.13715295912441086,0.09956055738589988,0.07143360994904473,0.013480488205225228,0.01817149447923907,0.014837721333876902
21,2,0.062,0.09,1.0,1.2,0.15,0.25,165,180,0,0,1,11,1,0.06929405036191297,1.0928170652777671,0.2067495372694306,172.45799416402753,1.4731740144721288,0.19797301742001064,0.27272308406432066,0.5414203600399166,0.007322435586282727,0.07810556014783972,0.13477864686356358,0.20367484612379647,0.09149934032862977,0.008180694774103072,0.010264849072162494,0.014245284066373197
22,2,0.062,0.09,1.0,1.2,0.15,0.25,180,210,0,0,1,12,2,0.06929405036191297,1.0928170652777671,0.2067495372694306,195.19010071317825,1.436468349384113,0.2942003649704959,0.29447016893392897,0.5428677923589463,0.011150007603042482,0.21811502910178804,0.1577354916564267,0.035138372360619466,0.11313307010567769,0.008844096613260029,0.012093858749403108,0.009995484509042455
38,3,0.062,0.09,1.0,1.2,0.25,0.4,120,135,0,0,2,8,1,0.07583879789198403,1.0938788583219805,0.3144445417767074,127.32386876119497,0.5159698911326771,0.12426168390609486,0.12632693938761638,0.20686636798125774,0.0035770059775403363,0.04850524894621022,0.03686619995628808,0.08587062469423222,0.06913393470234014,0.00442938851987337,0.003311474528648165,0.008975503101397072
39,3,0.062,0.09,1.0,1.2,0.25,0.4,135,150,0,0,2,9,1,0.07583879789198403,1.0938788583219805,0.3144445417767074,142.39478605909915,0.5108184671609073,0.06039829109216559,0.12892486979144513,0.2071802411706905,0.004407750693018985,0.03489032038130357,0.02961541004494383,0.11609783529607196,0.030766091899229835,0.0039733397335398705,0.0030544340261719205,0.009084439715436595
40,3,0.062,0.09,1.0,1.2,0.25,0.4,150,165,0,0,2,10,1,0.07583879789198403,1.0938788583219805,0.3144445417767074,157.40052285894072,0.4829441265791783,0.050019763250444285,0.044186490876451504,0.15956909696788052,0.003179472275551185,0.017466945076875934,0.00041304845910009025,0.013836219709419383,0.036475385784165676,0.006996649259217653,0.006358110880951739,0.010732073831488788
