bin_number,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi_pass2,phi_pass1,pass1_normalized_y,pass1_yerr_stat_plus_31percent_norm,pass2_over_pass1,pass2_yerr_stat_plus_s_comb,pass1_xs,pass1_stat,pass1_norm_frac,pass2_xs,pass2_stat,pass2_s_comb,pass2_n_good_periods
1,0.062,0.09,1,1.2,0.11,0.15,135,134.347232539,1,0.35184057833,0.749613351821,0.294657571735,2.84672819236,0.473719799938,0.31,2.133945462,0.1665418631,0.385253861557,2
2,0.062,0.09,1,1.2,0.11,0.15,157.5,157.455343121,1,0.363376890418,0.895767967023,0.135200200459,2.35491814584,0.446458971851,0.31,2.10946024,0.2050536975,0.115461568844,2
3,0.062,0.09,1,1.2,0.11,0.15,180,179.982484657,1,0.386203026711,0.973182780737,0.0838259219296,2.01046153171,0.463073396909,0.31,1.956546544,0.1685287914,0,2
4,0.062,0.09,1,1.2,0.15,0.25,127.5,127.288217714,1,0.364573269684,0.543074346157,0.0514561931943,1.84607482216,0.35420431745,0.31,1.002555877,0.0949919827,0,2
5,0.062,0.09,1,1.2,0.15,0.25,142.5,142.407143918,1,0.326414431592,0.53765763416,0.0383238711434,1.77636755236,0.181558156957,0.31,0.9550775756,0.06807728118,0,2
6,0.062,0.09,1,1.2,0.15,0.25,157.5,157.423913913,1,0.324387207205,0.590068001261,0.11964527449,1.61923225028,0.154694403642,0.31,0.9554571375,0.06376458024,0.191467695779,2
7,0.062,0.09,1,1.2,0.15,0.25,172.5,172.457994164,1,0.338226060073,0.655255582492,0.0531998094725,1.38673250466,0.187577640856,0.31,0.9086642151,0.06625921888,0.035699931873,2
8,0.062,0.09,1,1.2,0.15,0.25,195,195.190100713,1,0.367826874705,0.620237193227,0.0482205401803,1.2772436667,0.252870408662,0.31,0.7921940269,0.06158937955,0,2
9,0.062,0.09,1,1.2,0.25,0.4,127.5,127.323868761,1,0.396572236026,0.713339312989,0.0747621195584,0.558831416188,0.138212847558,0.31,0.3986364185,0.04177942115,0,2
10,0.062,0.09,1,1.2,0.25,0.4,142.5,142.394786059,1,0.331694208281,0.866486555731,0.0687098837475,0.526511207223,0.0621217358209,0.31,0.4562148825,0.03617652384,0,2
11,0.062,0.09,1,1.2,0.25,0.4,157.5,157.400522859,1,0.327363479271,0.847299906595,0.0869612643185,0.508311407387,0.0534738951355,0.31,0.430692208,0.03892912656,0.0486183160218,2
12,0.062,0.09,1,1.2,0.25,0.4,172.5,172.445042782,1,0.336712737874,1.0185306707,0.0821219169856,0.449766863168,0.0591156357057,0.31,0.4581013448,0.036935717,0,2
13,0.062,0.09,1,1.2,0.25,0.4,195,195.190028695,1,0.403694417328,1.39569933231,0.229856420855,0.297807474059,0.0770102618706,0.31,0.4156496927,0.03535464199,0.141023041999,2
14,0.062,0.09,1,1.2,0.25,0.4,255,256.239046401,1,0.348133884034,0.694352558833,0.0637080106333,0.753929446274,0.119438228187,0.31,0.5234928402,0.04803134518,0,2
15,0.062,0.09,1,1.2,0.4,0.6,52.5,51.7464973348,1,0.335536182063,1.07185564266,0.063050728217,0.782057322959,0.100409976322,0.31,0.8382525545,0.04930928372,0,2
16,0.062,0.09,1,1.2,0.4,0.6,135,134.415135052,1,0.36077423556,0.967013905654,0.0845474988438,0.179076350182,0.0330482233872,0.31,0.1731693208,0.01514045751,0,2
17,0.062,0.09,1,1.2,0.4,0.6,172.5,172.242880279,1,0.334649662831,1.23856863268,0.238362841329,0.152525807869,0.0192269636604,0.31,0.1889136813,0.01303373582,0.179658158123,2
18,0.062,0.09,1,1.2,0.4,0.6,240,240.850935602,1,0.395166327407,1.0111129554,0.0978786011029,0.193859117276,0.0475079153258,0.31,0.196013465,0.01897465921,0,2
19,0.062,0.09,1,1.2,0.4,0.6,262.5,262.830799741,1,0.351633874704,0.797135453936,0.156738874972,0.298254912545,0.0495016741754,0.31,0.2377495651,0.02906158547,0.154015468446,2
20,0.062,0.09,1,1.2,0.4,0.6,307.5,308.235811863,1,0.350121461537,1.17341012061,0.0699382683951,0.648150583367,0.105481480082,0.31,0.7605464542,0.04533052946,0,2
21,0.062,0.09,1,1.2,0.4,0.6,322.5,323.472525447,1,0.327923393,0.984987420903,0.0461067048579,1.499868134,0.160378983356,0.31,1.477351245,0.06915397738,0,2
22,0.062,0.09,1,1.2,0.6,0.8,7.5,6.72779731375,1,0.391143491895,0.846430509718,0.0518231614758,4.26543407822,1.01740421958,0.31,3.610393541,0.221048279,0,2
23,0.062,0.09,1,1.2,0.6,0.8,22.5,21.4769391237,1,0.361346864374,0.810766033625,0.167544637131,1.39995178871,0.259922290771,0.31,1.135033359,0.04614228836,0.202611669438,2
24,0.062,0.09,1,1.2,0.6,0.8,37.5,36.6013888911,1,0.332704453542,0.830679229007,0.227499938449,0.767497567818,0.0927124780833,0.31,0.6375442879,0.02859397228,0.270174827769,2
25,0.062,0.09,1,1.2,0.6,0.8,150,149.681894796,1,0.387270985037,1.06660946874,0.147927568006,0.0836443550849,0.0194153694094,0.31,0.08921586114,0.01084581165,0.0667529701615,2
26,0.062,0.09,1,1.2,0.6,0.8,180,179.96533855,1,0.407318736907,1.05795805424,0.126802230012,0.0880690335567,0.0232689909074,0.31,0.09317334338,0.01116734985,0,2
27,0.062,0.09,1,1.2,0.6,0.8,240,240.804370315,1,0.39593086936,0.64508191992,0.206668737399,0.178529417805,0.0439709124857,0.31,0.1151660996,0.01407756217,0.296139936283,2
28,0.062,0.09,1,1.2,0.6,0.8,270,271.47647442,1,0.381946812232,0.869294426356,0.101495425883,0.142315674815,0.0317537390173,0.31,0.1237142229,0.0128556483,0.0532339445214,2
29,0.062,0.09,1,1.2,0.6,0.8,337.5,338.547818753,1,0.352614902353,0.797241545024,0.134217592918,1.39554009816,0.234505842889,0.31,1.112582544,0.04514925027,0.163388415618,2
30,0.062,0.09,1,1.2,0.6,0.8,352.5,353.229055847,1,0.38675266816,0.820730470423,0.0545774595677,4.33228078905,1.0018498974,0.31,3.55563485,0.2364448796,0,2
31,0.062,0.09,1.2,1.456,0.15,0.25,120,119.06617343,1,0.3666047821,1.21289131468,0.136793773649,1.12404610165,0.219977477021,0.31,1.363345754,0.153762508,0,2
32,0.062,0.09,1.2,1.456,0.15,0.25,142.5,142.388806086,1,0.341109942697,1.19755190447,0.125744466715,1.04344430278,0.148506697846,0.31,1.249578712,0.1312073474,0,2
33,0.062,0.09,1.2,1.456,0.15,0.25,157.5,157.401160017,1,0.33890867431,1.35676933623,0.137076884303,0.843430212817,0.115519428573,0.31,1.14434025,0.1156147857,0,2
34,0.062,0.09,1.2,1.456,0.15,0.25,180,179.984058302,1,0.347523232374,1.27667919252,0.113006772514,0.980302084765,0.1539804551,0.31,1.251531274,0.1071125554,0.0225895670193,2
