target_label,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,n_pass1,n_pass2,fit_ok,A,A_err,B,pass1_fit_chi2,pass1_fit_ndf,pass1_fit_chi2_ndf,pass2_vs_pass1_fit_chi2,pass2_vs_pass1_fit_ndf,pass2_vs_pass1_fit_chi2_ndf,pass2_vs_pass1_fit_pseudo_sigma,output_file
10.6 GeV,0.062,0.09,1,1.2,0.11,0.15,2,3,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_001_10p6_GeV_average_xB_0p062_0p09_Q2_1_1p2_t_0p11_0p15.png
10.6 GeV,0.062,0.09,1,1.2,0.15,0.25,8,5,1,0.256488553828,0.0116923094075,0.0942249995125,6.87432764719,6,1.14572127453,14.1915710346,5,2.83831420692,2.90662997446,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_002_10p6_GeV_average_xB_0p062_0p09_Q2_1_1p2_t_0p15_0p25.png
10.6 GeV,0.062,0.09,1,1.2,0.25,0.4,7,6,1,0.186216178109,0.00927844933288,-0.265247379968,11.5588255827,5,2.31176511654,8.06078132906,6,1.34346355484,0.594896327537,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_003_10p6_GeV_average_xB_0p062_0p09_Q2_1_1p2_t_0p25_0p4.png
10.6 GeV,0.062,0.09,1,1.2,0.4,0.6,4,9,1,0.249597800046,0.03043650321,0.759938525901,6.30391220428,2,3.15195610214,30.2590932358,9,3.36212147064,5.01081632963,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_004_10p6_GeV_average_xB_0p062_0p09_Q2_1_1p2_t_0p4_0p6.png
10.6 GeV,0.062,0.09,1,1.2,0.6,0.8,1,11,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_005_10p6_GeV_average_xB_0p062_0p09_Q2_1_1p2_t_0p6_0p8.png
10.6 GeV,0.062,0.09,1.2,1.456,0.15,0.25,0,4,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_006_10p6_GeV_average_xB_0p062_0p09_Q2_1p2_1p456_t_0p15_0p25.png
10.6 GeV,0.062,0.09,1.2,1.456,0.25,0.4,0,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_007_10p6_GeV_average_xB_0p062_0p09_Q2_1p2_1p456_t_0p25_0p4.png
10.6 GeV,0.062,0.09,1.2,1.456,0.4,0.6,0,9,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_008_10p6_GeV_average_xB_0p062_0p09_Q2_1p2_1p456_t_0p4_0p6.png
10.6 GeV,0.09,0.118,1,1.2,0.11,0.15,3,2,1,0.419650637493,0.0966966878587,0.949999951776,3.576693196,1,3.576693196,50.299423925,2,25.1497119625,24.1497119625,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_009_10p6_GeV_average_xB_0p09_0p118_Q2_1_1p2_t_0p11_0p15.png
10.6 GeV,0.09,0.118,1,1.2,0.15,0.25,16,5,1,0.242845275952,0.0179451825211,-0.00263041420529,31.520804349,14,2.25148602493,8.97304048333,5,1.79460809667,1.25638571634,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_010_10p6_GeV_average_xB_0p09_0p118_Q2_1_1p2_t_0p15_0p25.png
