xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.062,0.09,1,1.2,0.11,0.15,135,2.133945462,2,1.93287313424,0.16078407976,0.403652627083,0.120477821639,0.385253861557,40.3652627083,12.0477821639,38.5253861557,0.520291492073,1.30943599358,0.394572250755
0.062,0.09,1,1.2,0.11,0.15,157.5,2.10946024,2,2.10886096702,0.20505334918,0.1945097219,0.156533248972,0.115461568844,19.45097219,15.6533248972,11.5461568844,0.74063848989,1.0916497185,0.175505614305
0.062,0.09,1,1.2,0.11,0.15,180,1.956546544,2,1.96604569674,0.168125427585,0.0938877032594,0.14345168644,0,9.38877032594,14.345168644,0,0.872840613951,1.03821376959,0.0826865778193
0.062,0.09,1,1.2,0.15,0.25,127.5,1.002555877,2,1.00512388296,0.0906711637609,0.0140294378787,0.179111032011,0,1.40294378787,17.9111032011,0,0.98045688338,1.00342298805,0.0114830523338
0.062,0.09,1,1.2,0.15,0.25,142.5,0.9550775756,2,0.957591507574,0.0666180999475,0.0193038632143,0.128174459177,0,1.93038632143,12.8174459177,0,0.973331155015,1.00583532151,0.0162520832494
0.062,0.09,1,1.2,0.15,0.25,157.5,0.9554571375,2,0.954258918691,0.0637629347627,0.219463749555,0.107258840388,0.191467695779,21.9463749555,10.7258840388,19.1467695779,0.707763936361,1.10453113338,0.19838359851
0.062,0.09,1,1.2,0.15,0.25,172.5,0.9086642151,2,0.915646719336,0.0660385665987,0.127041185166,0.121922014389,0.035699931873,12.7041185166,12.1922014389,3.5699931873,0.827543601367,1.05037574841,0.11141607352
0.062,0.09,1,1.2,0.15,0.25,195,0.7921940269,2,0.792220773796,0.0605603565842,0.000275121067995,0.138356794568,0,0.0275121067995,13.8356794568,0,0.999620942664,1.00008774247,0.00023339990078
0.062,0.09,1,1.2,0.25,0.4,127.5,0.3986364185,2,0.403273534297,0.0398167517998,0.0624002835351,0.19684542126,0,6.24002835351,19.684542126,0,0.913045991827,1.01505294766,0.0510034779144
0.062,0.09,1,1.2,0.25,0.4,142.5,0.4562148825,2,0.460779777879,0.0352658651684,0.0682726736281,0.142864762311,0,6.82726736281,14.2864762311,0,0.905511634909,1.01985610211,0.0571722336021
