# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
68.33 1.11 0.126 0.11 5.75 3.0622 0.6597
82.35 1.11 0.126 0.11 5.75 1.1243 0.3432
97.13 1.11 0.126 0.11 5.75 0.5615 0.2493
112.2 1.11 0.126 0.11 5.75 0.3814 0.2585
127.27 1.11 0.126 0.11 5.75 0.2531 0.2196
142.33 1.11 0.126 0.11 5.75 0.4094 0.1713
157.4 1.11 0.126 0.11 5.75 -0.0751 0.1785
172.47 1.11 0.126 0.11 5.75 0.1641 0.2104
187.53 1.11 0.126 0.11 5.75 0.4801 0.2039
202.6 1.11 0.126 0.11 5.75 0.0966 0.1682
217.67 1.11 0.126 0.11 5.75 -0.1492 0.1983
232.73 1.11 0.126 0.11 5.75 -0.2495 0.2317
247.8 1.11 0.126 0.11 5.75 -0.729 0.2167
262.87 1.11 0.126 0.11 5.75 -1.0084 0.2309
277.65 1.11 0.126 0.11 5.75 -0.5518 0.3556
291.67 1.11 0.126 0.11 5.75 0.0447 0.6867
68.12 1.11 0.126 0.15 5.75 0.6795 0.49
82.03 1.11 0.126 0.15 5.75 0.4964 0.243
97.11 1.11 0.126 0.15 5.75 0.3561 0.1853
112.18 1.11 0.126 0.15 5.75 0.4436 0.1634
127.26 1.11 0.126 0.15 5.75 0.4021 0.1392
142.33 1.11 0.126 0.15 5.75 0.1102 0.1136
157.4 1.11 0.126 0.15 5.75 0.0618 0.1126
172.47 1.11 0.126 0.15 5.75 -0.1299 0.129
187.53 1.11 0.126 0.15 5.75 -0.1661 0.1213
202.6 1.11 0.126 0.15 5.75 -0.0407 0.1076
217.67 1.11 0.126 0.15 5.75 0.0087 0.1092
232.74 1.11 0.126 0.15 5.75 -0.6118 0.1467
247.82 1.11 0.126 0.15 5.75 -0.3149 0.1507
262.89 1.11 0.126 0.15 5.75 -0.6995 0.168
277.97 1.11 0.126 0.15 5.75 -0.3979 0.2665
291.88 1.11 0.126 0.15 5.75 -0.7879 0.4529
67.53 1.11 0.126 0.2 5.75 0.0955 0.4002
82 1.11 0.126 0.2 5.75 0.3196 0.2349
97.09 1.11 0.126 0.2 5.75 0.2186 0.1567
112.17 1.11 0.126 0.2 5.75 0.3685 0.133
127.25 1.11 0.126 0.2 5.75 -0.0554 0.1103
142.32 1.11 0.126 0.2 5.75 -0.0924 0.0859
157.39 1.11 0.126 0.2 5.75 0.1245 0.0897
172.46 1.11 0.126 0.2 5.75 -0.0205 0.0957
187.54 1.11 0.126 0.2 5.75 0.069 0.1049
202.61 1.11 0.126 0.2 5.75 0.0325 0.073
217.68 1.11 0.126 0.2 5.75 -0.0739 0.0806
232.75 1.11 0.126 0.2 5.75 -0.1547 0.1136
247.83 1.11 0.126 0.2 5.75 -0.305 0.1177
262.91 1.11 0.126 0.2 5.75 -0.2539 0.1478
278 1.11 0.126 0.2 5.75 -0.2264 0.1888
292.47 1.11 0.126 0.2 5.75 -0.4884 0.3466
55.41 1.11 0.126 0.26 5.75 -0.3133 0.3491
66.94 1.11 0.126 0.26 5.75 0.2681 0.2543
81.98 1.11 0.126 0.26 5.75 0.3277 0.1323
97.08 1.11 0.126 0.26 5.75 0.2141 0.0862
112.16 1.11 0.126 0.26 5.75 0.1313 0.0806
127.24 1.11 0.126 0.26 5.75 0.1391 0.0728
142.32 1.11 0.126 0.26 5.75 -0.0291 0.0575
157.39 1.11 0.126 0.26 5.75 -0.0456 0.0563
172.46 1.11 0.126 0.26 5.75 0.031 0.0631
187.54 1.11 0.126 0.26 5.75 -0.0203 0.0594
202.61 1.11 0.126 0.26 5.75 0.07 0.0499
217.68 1.11 0.126 0.26 5.75 -0.0831 0.053
232.76 1.11 0.126 0.26 5.75 -0.0613 0.0704
247.84 1.11 0.126 0.26 5.75 -0.0682 0.0759
262.92 1.11 0.126 0.26 5.75 -0.1136 0.0914
278.02 1.11 0.126 0.26 5.75 -0.3923 0.1218
293.06 1.11 0.126 0.26 5.75 -0.678 0.2033
304.59 1.11 0.126 0.26 5.75 -0.2823 0.3896
53.26 1.11 0.126 0.34 5.75 0.3173 0.1659
66.86 1.11 0.126 0.34 5.75 -0.1677 0.1288
81.98 1.11 0.126 0.34 5.75 0.2205 0.0913
97.07 1.11 0.126 0.34 5.75 0.1035 0.0572
112.16 1.11 0.126 0.34 5.75 0.0046 0.0462
127.24 1.11 0.126 0.34 5.75 0.068 0.0567
142.31 1.11 0.126 0.34 5.75 0.0332 0.0419
157.39 1.11 0.126 0.34 5.75 -0.0364 0.0352
172.46 1.11 0.126 0.34 5.75 0.0205 0.0402
187.54 1.11 0.126 0.34 5.75 -0.0086 0.0464
202.61 1.11 0.126 0.34 5.75 0.0133 0.0412
217.69 1.11 0.126 0.34 5.75 -0.0266 0.0332
232.76 1.11 0.126 0.34 5.75 0.0251 0.0445
247.84 1.11 0.126 0.34 5.75 0.0187 0.0527
262.93 1.11 0.126 0.34 5.75 0.0194 0.0625
278.02 1.11 0.126 0.34 5.75 -0.2629 0.0741
293.14 1.11 0.126 0.34 5.75 -0.1336 0.1279
306.74 1.11 0.126 0.34 5.75 -0.1828 0.1564
41.56 1.11 0.126 0.45 5.75 -0.0584 0.1025
51.83 1.11 0.126 0.45 5.75 0.0532 0.076
66.87 1.11 0.126 0.45 5.75 0.021 0.0691
81.97 1.11 0.126 0.45 5.75 -0.014 0.0463
97.06 1.11 0.126 0.45 5.75 -0.0063 0.0309
112.15 1.11 0.126 0.45 5.75 0.0045 0.0307
127.23 1.11 0.126 0.45 5.75 -0.0048 0.0303
142.31 1.11 0.126 0.45 5.75 0.0349 0.0268
157.39 1.11 0.126 0.45 5.75 0.0188 0.0244
172.46 1.11 0.126 0.45 5.75 0.0159 0.0239
187.54 1.11 0.126 0.45 5.75 0.0596 0.0276
202.61 1.11 0.126 0.45 5.75 -0.0175 0.0219
217.69 1.11 0.126 0.45 5.75 0.0281 0.0223
232.77 1.11 0.126 0.45 5.75 0.038 0.0278
247.85 1.11 0.126 0.45 5.75 -0.0522 0.0319
262.94 1.11 0.126 0.45 5.75 -0.0297 0.0313
278.03 1.11 0.126 0.45 5.75 0.0035 0.0381
293.13 1.11 0.126 0.45 5.75 -0.1219 0.0606
308.17 1.11 0.126 0.45 5.75 -0.0311 0.0933
39.49 1.27 0.154 0.11 5.75 0.6136 0.584
52.77 1.27 0.154 0.11 5.75 -0.2003 0.3362
67.03 1.27 0.154 0.11 5.75 1.0187 0.265
82.09 1.27 0.154 0.11 5.75 0.2989 0.1773
97.15 1.27 0.154 0.11 5.75 0.4529 0.1609
112.2 1.27 0.154 0.11 5.75 0.2859 0.1773
127.26 1.27 0.154 0.11 5.75 0.2137 0.1684
142.33 1.27 0.154 0.11 5.75 0.0438 0.1338
157.4 1.27 0.154 0.11 5.75 0.1445 0.1242
172.46 1.27 0.154 0.11 5.75 -0.0095 0.161
187.54 1.27 0.154 0.11 5.75 0.0071 0.1433
202.6 1.27 0.154 0.11 5.75 -0.255 0.122
217.67 1.27 0.154 0.11 5.75 -0.1194 0.1373
232.74 1.27 0.154 0.11 5.75 -0.3177 0.1602
247.8 1.27 0.154 0.11 5.75 -0.3354 0.1423
262.85 1.27 0.154 0.11 5.75 -0.8246 0.1545
277.91 1.27 0.154 0.11 5.75 -0.6145 0.204
292.97 1.27 0.154 0.11 5.75 -1.0558 0.2506
307.23 1.27 0.154 0.11 5.75 -1.1316 0.2828
320.51 1.27 0.154 0.11 5.75 -0.4972 0.453
53.18 1.27 0.154 0.15 5.75 0.6562 0.2747
66.96 1.27 0.154 0.15 5.75 0.1757 0.2049
82.04 1.27 0.154 0.15 5.75 0.3523 0.1269
97.11 1.27 0.154 0.15 5.75 0.3083 0.1019
112.18 1.27 0.154 0.15 5.75 0.2897 0.0908
127.25 1.27 0.154 0.15 5.75 -0.0083 0.1093
142.32 1.27 0.154 0.15 5.75 -0.0247 0.0829
157.39 1.27 0.154 0.15 5.75 0.1295 0.0711
172.46 1.27 0.154 0.15 5.75 0.1119 0.089
187.54 1.27 0.154 0.15 5.75 0.0298 0.0963
202.61 1.27 0.154 0.15 5.75 -0.0671 0.0733
217.68 1.27 0.154 0.15 5.75 -0.1124 0.0868
232.75 1.27 0.154 0.15 5.75 -0.0644 0.0988
247.82 1.27 0.154 0.15 5.75 -0.2293 0.097
262.89 1.27 0.154 0.15 5.75 -0.1922 0.0952
277.96 1.27 0.154 0.15 5.75 -0.3415 0.1232
293.04 1.27 0.154 0.15 5.75 -0.7854 0.2036
306.82 1.27 0.154 0.15 5.75 -0.7397 0.2671
53.03 1.27 0.154 0.2 5.75 0.1342 0.2412
66.9 1.27 0.154 0.2 5.75 0.192 0.1721
82 1.27 0.154 0.2 5.75 0.215 0.1084
97.09 1.27 0.154 0.2 5.75 0.102 0.0839
112.17 1.27 0.154 0.2 5.75 0.1522 0.0751
127.24 1.27 0.154 0.2 5.75 -0.1058 0.0842
142.31 1.27 0.154 0.2 5.75 0.0661 0.0594
157.39 1.27 0.154 0.2 5.75 0.1039 0.0608
172.46 1.27 0.154 0.2 5.75 -0.0298 0.057
187.54 1.27 0.154 0.2 5.75 -0.0932 0.0682
202.61 1.27 0.154 0.2 5.75 -0.1267 0.0717
217.69 1.27 0.154 0.2 5.75 -0.1734 0.0669
232.76 1.27 0.154 0.2 5.75 -0.0696 0.0668
247.83 1.27 0.154 0.2 5.75 -0.2586 0.0779
262.91 1.27 0.154 0.2 5.75 -0.3202 0.0839
278 1.27 0.154 0.2 5.75 -0.2044 0.105
293.1 1.27 0.154 0.2 5.75 -0.18 0.1638
306.97 1.27 0.154 0.2 5.75 -0.3764 0.2308
52.39 1.27 0.154 0.26 5.75 0.1265 0.1481
66.86 1.27 0.154 0.26 5.75 0.0322 0.1123
81.97 1.27 0.154 0.26 5.75 0.1901 0.0738
97.07 1.27 0.154 0.26 5.75 0.0602 0.0537
112.15 1.27 0.154 0.26 5.75 0.1391 0.0523
127.23 1.27 0.154 0.26 5.75 0.1033 0.0496
142.31 1.27 0.154 0.26 5.75 0.052 0.0518
157.39 1.27 0.154 0.26 5.75 0.0292 0.0344
