# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
68.33 1.11 0.126 0.11 5.75 8.9354 0.5418
82.35 1.11 0.126 0.11 5.75 5.7024 0.2823
97.13 1.11 0.126 0.11 5.75 3.5973 0.204
112.2 1.11 0.126 0.11 5.75 2.9545 0.2122
127.27 1.11 0.126 0.11 5.75 2.604 0.1803
142.33 1.11 0.126 0.11 5.75 2.1674 0.1402
157.4 1.11 0.126 0.11 5.75 2.1833 0.1464
172.47 1.11 0.126 0.11 5.75 1.9659 0.1725
187.53 1.11 0.126 0.11 5.75 2.3694 0.1673
202.6 1.11 0.126 0.11 5.75 2.1443 0.1377
217.67 1.11 0.126 0.11 5.75 2.4837 0.1629
232.73 1.11 0.126 0.11 5.75 2.4709 0.1904
247.8 1.11 0.126 0.11 5.75 3.0839 0.1776
262.87 1.11 0.126 0.11 5.75 3.4295 0.1893
277.65 1.11 0.126 0.11 5.75 5.3907 0.2922
291.67 1.11 0.126 0.11 5.75 9.0739 0.5655
68.12 1.11 0.126 0.15 5.75 5.0617 0.4033
82.03 1.11 0.126 0.15 5.75 3.1358 0.1995
97.11 1.11 0.126 0.15 5.75 2.498 0.1521
112.18 1.11 0.126 0.15 5.75 1.7895 0.134
127.26 1.11 0.126 0.15 5.75 1.345 0.1137
142.33 1.11 0.126 0.15 5.75 1.3565 0.0931
157.4 1.11 0.126 0.15 5.75 1.3242 0.0923
172.47 1.11 0.126 0.15 5.75 1.2156 0.1056
187.53 1.11 0.126 0.15 5.75 1.2164 0.0995
202.6 1.11 0.126 0.15 5.75 1.2284 0.0879
217.67 1.11 0.126 0.15 5.75 1.2196 0.0892
232.74 1.11 0.126 0.15 5.75 1.3916 0.1202
247.82 1.11 0.126 0.15 5.75 1.6852 0.1232
262.89 1.11 0.126 0.15 5.75 2.1674 0.1379
277.97 1.11 0.126 0.15 5.75 3.6278 0.2195
291.88 1.11 0.126 0.15 5.75 4.8063 0.3726
67.53 1.11 0.126 0.2 5.75 3.1688 0.3298
82 1.11 0.126 0.2 5.75 2.4884 0.1935
97.09 1.11 0.126 0.2 5.75 1.6622 0.1287
112.17 1.11 0.126 0.2 5.75 1.2373 0.1092
127.25 1.11 0.126 0.2 5.75 0.8238 0.0904
142.32 1.11 0.126 0.2 5.75 0.7833 0.0705
157.39 1.11 0.126 0.2 5.75 0.8914 0.0736
172.46 1.11 0.126 0.2 5.75 0.74 0.0786
187.54 1.11 0.126 0.2 5.75 0.7966 0.086
202.61 1.11 0.126 0.2 5.75 0.6193 0.0598
217.68 1.11 0.126 0.2 5.75 0.7481 0.0658
232.75 1.11 0.126 0.2 5.75 0.9311 0.0931
247.83 1.11 0.126 0.2 5.75 0.999 0.0967
262.91 1.11 0.126 0.2 5.75 1.536 0.1214
278 1.11 0.126 0.2 5.75 1.834 0.1551
292.47 1.11 0.126 0.2 5.75 2.8245 0.2851
55.41 1.11 0.126 0.26 5.75 2.2281 0.2864
66.94 1.11 0.126 0.26 5.75 2.2591 0.2104
81.98 1.11 0.126 0.26 5.75 1.2245 0.1087
97.08 1.11 0.126 0.26 5.75 0.7881 0.0707
112.16 1.11 0.126 0.26 5.75 0.7875 0.0663
127.24 1.11 0.126 0.26 5.75 0.5334 0.0598
142.32 1.11 0.126 0.26 5.75 0.485 0.0471
157.39 1.11 0.126 0.26 5.75 0.5123 0.0463
172.46 1.11 0.126 0.26 5.75 0.5262 0.0519
187.54 1.11 0.126 0.26 5.75 0.3819 0.0485
202.61 1.11 0.126 0.26 5.75 0.406 0.0409
217.68 1.11 0.126 0.26 5.75 0.462 0.0435
232.76 1.11 0.126 0.26 5.75 0.5933 0.0578
247.84 1.11 0.126 0.26 5.75 0.5589 0.0621
262.92 1.11 0.126 0.26 5.75 0.8558 0.0749
278.02 1.11 0.126 0.26 5.75 1.2099 0.1
293.06 1.11 0.126 0.26 5.75 1.7066 0.1666
304.59 1.11 0.126 0.26 5.75 2.4484 0.3194
53.26 1.11 0.126 0.34 5.75 1.5748 0.1358
66.86 1.11 0.126 0.34 5.75 1.0215 0.1056
81.98 1.11 0.126 0.34 5.75 0.7974 0.0752
97.07 1.11 0.126 0.34 5.75 0.5145 0.0468
112.16 1.11 0.126 0.34 5.75 0.3987 0.0378
127.24 1.11 0.126 0.34 5.75 0.4166 0.0467
142.31 1.11 0.126 0.34 5.75 0.3327 0.0345
157.39 1.11 0.126 0.34 5.75 0.2754 0.0288
172.46 1.11 0.126 0.34 5.75 0.293 0.033
187.54 1.11 0.126 0.34 5.75 0.3073 0.0382
202.61 1.11 0.126 0.34 5.75 0.3363 0.0339
217.69 1.11 0.126 0.34 5.75 0.2558 0.0272
232.76 1.11 0.126 0.34 5.75 0.3312 0.0365
247.84 1.11 0.126 0.34 5.75 0.3611 0.0432
262.93 1.11 0.126 0.34 5.75 0.5974 0.0514
278.02 1.11 0.126 0.34 5.75 0.6848 0.0607
293.14 1.11 0.126 0.34 5.75 1.1823 0.1052
306.74 1.11 0.126 0.34 5.75 1.1396 0.1275
41.56 1.11 0.126 0.45 5.75 0.9642 0.0841
51.83 1.11 0.126 0.45 5.75 0.8493 0.0623
66.87 1.11 0.126 0.45 5.75 0.6147 0.0571
81.97 1.11 0.126 0.45 5.75 0.3942 0.0382
97.06 1.11 0.126 0.45 5.75 0.2724 0.0254
112.15 1.11 0.126 0.45 5.75 0.2626 0.0252
127.23 1.11 0.126 0.45 5.75 0.1885 0.025
142.31 1.11 0.126 0.45 5.75 0.1759 0.022
157.39 1.11 0.126 0.45 5.75 0.1818 0.02
172.46 1.11 0.126 0.45 5.75 0.1567 0.0196
187.54 1.11 0.126 0.45 5.75 0.1513 0.0227
202.61 1.11 0.126 0.45 5.75 0.1315 0.018
217.69 1.11 0.126 0.45 5.75 0.1585 0.0182
232.77 1.11 0.126 0.45 5.75 0.1984 0.0228
247.85 1.11 0.126 0.45 5.75 0.2037 0.0262
262.94 1.11 0.126 0.45 5.75 0.2671 0.0257
278.03 1.11 0.126 0.45 5.75 0.3425 0.0312
293.13 1.11 0.126 0.45 5.75 0.5723 0.0497
308.17 1.11 0.126 0.45 5.75 0.8164 0.0767
39.49 1.27 0.154 0.11 5.75 8.4447 0.4798
52.77 1.27 0.154 0.11 5.75 4.7947 0.2755
67.03 1.27 0.154 0.11 5.75 3.134 0.2163
82.09 1.27 0.154 0.11 5.75 2.3581 0.1447
97.15 1.27 0.154 0.11 5.75 1.944 0.1318
112.2 1.27 0.154 0.11 5.75 1.6184 0.145
127.26 1.27 0.154 0.11 5.75 1.1996 0.1376
142.33 1.27 0.154 0.11 5.75 1.1766 0.1098
157.4 1.27 0.154 0.11 5.75 1.0584 0.1018
172.46 1.27 0.154 0.11 5.75 1.1094 0.132
187.54 1.27 0.154 0.11 5.75 0.9541 0.1178
202.6 1.27 0.154 0.11 5.75 1.0561 0.1001
217.67 1.27 0.154 0.11 5.75 1.1877 0.1124
232.74 1.27 0.154 0.11 5.75 1.0885 0.1309
247.8 1.27 0.154 0.11 5.75 1.2801 0.1161
262.85 1.27 0.154 0.11 5.75 1.8438 0.1269
277.91 1.27 0.154 0.11 5.75 2.5906 0.1672
292.97 1.27 0.154 0.11 5.75 2.9282 0.2048
307.23 1.27 0.154 0.11 5.75 4.5416 0.2312
320.51 1.27 0.154 0.11 5.75 7.144 0.3702
53.18 1.27 0.154 0.15 5.75 3.5923 0.2252
66.96 1.27 0.154 0.15 5.75 2.2993 0.1682
82.04 1.27 0.154 0.15 5.75 1.5455 0.1041
97.11 1.27 0.154 0.15 5.75 1.167 0.0832
112.18 1.27 0.154 0.15 5.75 0.8174 0.0743
127.25 1.27 0.154 0.15 5.75 0.7534 0.0895
142.32 1.27 0.154 0.15 5.75 0.6568 0.0679
157.39 1.27 0.154 0.15 5.75 0.5349 0.058
172.46 1.27 0.154 0.15 5.75 0.6159 0.0728
187.54 1.27 0.154 0.15 5.75 0.6326 0.0792
