# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
0.301683 1.36679 0.10852 -0.139944 10.2 0.129798 0.056638
0.637473 1.3595 0.0997291 -0.149211 10.2 -0.0121261 0.0796433
0.849838 1.34826 0.0933342 -0.15243 10.2 -0.0650657 0.0808073
1.09658 1.34015 0.0909908 -0.149641 10.2 0.504813 0.0658236
5.21343 1.34713 0.0914016 -0.144653 10.2 -0.159961 0.0854133
5.43878 1.34466 0.0929709 -0.159054 10.2 -0.124905 0.0743217
5.66567 1.35722 0.0998266 -0.149438 10.2 -0.130172 0.0748107
6.01667 1.36916 0.110002 -0.150133 10.2 0.119229 0.0864193
0.498833 1.36689 0.110013 -0.280132 10.2 -0.02502 0.108752
0.757412 1.35229 0.0953973 -0.294454 10.2 0.196018 0.0574138
0.972862 1.34312 0.0922372 -0.259531 10.2 0.328134 0.0894706
5.4243 1.35134 0.0928713 -0.279477 10.2 -0.167878 0.0783341
5.65026 1.36259 0.10228 -0.294731 10.2 -0.248583 0.0755714
0.0986021 1.58525 0.12147 -0.135744 10.2 -0.0606458 0.0437757
0.288461 1.59433 0.120994 -0.145201 10.2 0.0630693 0.0401014
0.479294 1.60421 0.117918 -0.148405 10.2 0.180689 0.0299165
0.657205 1.60027 0.11335 -0.152217 10.2 0.115477 0.0316787
0.834717 1.59781 0.109986 -0.155441 10.2 0.141207 0.0394003
1.01918 1.58925 0.107431 -0.154559 10.2 0.0899433 0.0905602
2.21961 1.58949 0.118214 -0.160352 10.2 0.210126 0.0794509
2.53583 1.56715 0.117058 -0.161098 10.2 -0.0998786 0.0997401
2.8685 1.58538 0.116366 -0.170438 10.2 0.254379 0.0670622
3.27273 1.57245 0.117677 -0.168185 10.2 0.036488 0.11475
5.19825 1.56863 0.105699 -0.155284 10.2 -0.20039 0.115827
5.3832 1.58655 0.108377 -0.157575 10.2 -0.122991 0.0491585
5.56029 1.60607 0.11211 -0.157372 10.2 -0.160578 0.0326173
5.74501 1.60655 0.116755 -0.153126 10.2 -0.240773 0.0349216
5.93031 1.59441 0.120068 -0.150085 10.2 -0.0701983 0.0529358
6.14694 1.58344 0.121541 -0.142421 10.2 -0.0620141 0.0414971
0.0974614 1.68868 0.145422 -0.170424 10.2 0.0732246 0.057557
0.27841 1.68968 0.149063 -0.169978 10.2 0.0725181 0.0606747
0.448866 1.72378 0.151091 -0.171763 10.2 -0.135158 0.120338
0.723672 1.71716 0.166442 -0.160086 10.2 0.308131 0.120157
1.58276 1.69089 0.174341 -0.162903 10.2 0.277034 0.0830954
2.10796 1.68247 0.158769 -0.17683 10.2 0.386755 0.0622165
2.53767 1.67679 0.152785 -0.173971 10.2 0.144717 0.0819198
2.87002 1.6764 0.151942 -0.177809 10.2 -0.0623008 0.103576
3.38909 1.65257 0.152236 -0.177797 10.2 -0.000776718 0.0885842
5.77544 1.74714 0.135179 -0.173618 10.2 -0.132423 0.128749
6.00308 1.71079 0.138698 -0.178743 10.2 -0.20428 0.0912097
6.19079 1.7035 0.141328 -0.170046 10.2 0.0735508 0.0664305
0.227298 1.70299 0.244465 -0.191201 10.2 0.279535 0.0667114
0.699918 1.71575 0.2598 -0.197617 10.2 0.261341 0.0889208
1.38316 1.7192 0.248131 -0.196998 10.2 0.620482 0.0880599
5.84027 1.69874 0.265029 -0.187994 10.2 -0.134158 0.111455
6.18515 1.70983 0.241687 -0.210462 10.2 -0.0391029 0.151501
