# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
134.34723 1.09104 0.07209 -0.13013 10.60410 2.84673 0.47372
157.45534 1.09104 0.07209 -0.13013 10.60410 2.35492 0.44646
179.98248 1.09104 0.07209 -0.13013 10.60410 2.01046 0.46307
127.28822 1.09282 0.06929 -0.20675 10.60410 1.84607 0.35420
142.40714 1.09282 0.06929 -0.20675 10.60410 1.77637 0.18156
157.42391 1.09282 0.06929 -0.20675 10.60410 1.61923 0.15469
172.45799 1.09282 0.06929 -0.20675 10.60410 1.38673 0.18758
195.19010 1.09282 0.06929 -0.20675 10.60410 1.27724 0.25287
127.32387 1.09388 0.07584 -0.31444 10.60410 0.55883 0.13821
142.39479 1.09388 0.07584 -0.31444 10.60410 0.52651 0.06212
157.40052 1.09388 0.07584 -0.31444 10.60410 0.50831 0.05347
172.44504 1.09388 0.07584 -0.31444 10.60410 0.44977 0.05912
195.19003 1.09388 0.07584 -0.31444 10.60410 0.29781 0.07701
256.23905 1.09388 0.07584 -0.31444 10.60410 0.75393 0.11944
51.74650 1.08527 0.08365 -0.44572 10.60410 0.78206 0.10041
72.91165 1.08527 0.08365 -0.44572 10.60410 0.48526 0.11778
134.41514 1.08527 0.08365 -0.44572 10.60410 0.17908 0.03305
172.24288 1.08527 0.08365 -0.44572 10.60410 0.15253 0.01923
240.85094 1.08527 0.08365 -0.44572 10.60410 0.19386 0.04751
262.83080 1.08527 0.08365 -0.44572 10.60410 0.29825 0.04950
287.07223 1.08527 0.08365 -0.44572 10.60410 0.44610 0.06564
308.23581 1.08527 0.08365 -0.44572 10.60410 0.64815 0.10548
323.47253 1.08527 0.08365 -0.44572 10.60410 1.49987 0.16038
6.72780 1.08572 0.07861 -0.68106 10.60410 4.26543 1.01740
21.47694 1.08572 0.07861 -0.68106 10.60410 1.39995 0.25992
36.60139 1.08572 0.07861 -0.68106 10.60410 0.76750 0.09271
62.34827 1.08572 0.07861 -0.68106 10.60410 0.24992 0.04677
149.68189 1.08572 0.07861 -0.68106 10.60410 0.08364 0.01942
179.96534 1.08572 0.07861 -0.68106 10.60410 0.08807 0.02327
240.80437 1.08572 0.07861 -0.68106 10.60410 0.17853 0.04397
271.47647 1.08572 0.07861 -0.68106 10.60410 0.14232 0.03175
318.24501 1.08572 0.07861 -0.68106 10.60410 0.48428 0.05781
338.54782 1.08572 0.07861 -0.68106 10.60410 1.39554 0.23451
353.22906 1.08572 0.07861 -0.68106 10.60410 4.33228 1.00185
119.06617 1.29620 0.07913 -0.21502 10.60410 1.12405 0.21998
142.38881 1.29620 0.07913 -0.21502 10.60410 1.04344 0.14851
157.40116 1.29620 0.07913 -0.21502 10.60410 0.84343 0.11552
179.98406 1.29620 0.07913 -0.21502 10.60410 0.98030 0.15398
119.11807 1.30114 0.08394 -0.30916 10.60410 0.43051 0.10034
142.40975 1.30114 0.08394 -0.30916 10.60410 0.34215 0.05485
157.40615 1.30114 0.08394 -0.30916 10.60410 0.42372 0.05572
180.01612 1.30114 0.08394 -0.30916 10.60410 0.32387 0.05543
256.23666 1.30114 0.08394 -0.30916 10.60410 0.51514 0.09500
36.59261 1.27107 0.08550 -0.45481 10.60410 1.40830 0.14955
51.76553 1.27107 0.08550 -0.45481 10.60410 0.74147 0.09003
134.38727 1.27107 0.08550 -0.45481 10.60410 0.21892 0.04298
157.40766 1.27107 0.08550 -0.45481 10.60410 0.18339 0.03626
179.96485 1.27107 0.08550 -0.45481 10.60410 0.19877 0.04059
240.82381 1.27107 0.08550 -0.45481 10.60410 0.19662 0.05196
262.79959 1.27107 0.08550 -0.45481 10.60410 0.26135 0.05829
287.00804 1.27107 0.08550 -0.45481 10.60410 0.37010 0.07987
308.20498 1.27107 0.08550 -0.45481 10.60410 0.64707 0.09082
126.07053 1.10106 0.10149 -0.12923 10.60410 1.12526 0.25564
179.96946 1.10106 0.10149 -0.12923 10.60410 0.72040 0.15861
119.27311 1.10050 0.10134 -0.19794 10.60410 0.76749 0.17438
142.38219 1.10050 0.10134 -0.19794 10.60410 0.56622 0.10150
157.44812 1.10050 0.10134 -0.19794 10.60410 0.56530 0.09834
172.47947 1.10050 0.10134 -0.19794 10.60410 0.58855 0.13227
195.14901 1.10050 0.10134 -0.19794 10.60410 0.38145 0.07798
134.53062 1.10079 0.10043 -0.32976 10.60410 0.19927 0.04290
157.47679 1.10079 0.10043 -0.32976 10.60410 0.19422 0.04320
172.47979 1.10079 0.10043 -0.32976 10.60410 0.18450 0.04633
195.12497 1.10079 0.10043 -0.32976 10.60410 0.17067 0.04155
271.34280 1.10079 0.10043 -0.32976 10.60410 0.43358 0.10331
57.30663 1.09587 0.10135 -0.51590 10.60410 0.36699 0.09283
141.79826 1.09587 0.10135 -0.51590 10.60410 0.09799 0.02352
187.60798 1.09587 0.10135 -0.51590 10.60410 0.07804 0.02023
264.97205 1.09587 0.10135 -0.51590 10.60410 0.16857 0.03083
302.68766 1.09587 0.10135 -0.51590 10.60410 0.36351 0.07514
323.62506 1.09587 0.10135 -0.51590 10.60410 0.61328 0.14265
20.76294 1.10289 0.10980 -0.64753 10.60410 2.25893 0.71261
36.29559 1.10289 0.10980 -0.64753 10.60410 0.62649 0.18896
67.29214 1.10289 0.10980 -0.64753 10.60410 0.09713 0.03262
164.11778 1.10289 0.10980 -0.64753 10.60410 0.06078 0.01875
275.02884 1.10289 0.10980 -0.64753 10.60410 0.10768 0.02794
119.17812 1.33510 0.10070 -0.12925 10.60410 1.48643 0.24950
142.39917 1.33510 0.10070 -0.12925 10.60410 0.65219 0.11955
164.79066 1.33510 0.10070 -0.12925 10.60410 0.67737 0.10765
195.14873 1.33510 0.10070 -0.12925 10.60410 0.74322 0.16503
307.94617 1.33510 0.10070 -0.12925 10.60410 5.74672 1.61640
103.88704 1.33689 0.10026 -0.19832 10.60410 1.06453 0.24799
127.32750 1.33689 0.10026 -0.19832 10.60410 0.75686 0.08765
142.36439 1.33689 0.10026 -0.19832 10.60410 0.63779 0.05557
157.42547 1.33689 0.10026 -0.19832 10.60410 0.44954 0.04181
172.45661 1.33689 0.10026 -0.19832 10.60410 0.53284 0.06058
187.51486 1.33689 0.10026 -0.19832 10.60410 0.54211 0.07293
202.54848 1.33689 0.10026 -0.19832 10.60410 0.51805 0.09655
119.23348 1.35878 0.09606 -0.34385 10.60410 0.21882 0.03939
142.41827 1.35878 0.09606 -0.34385 10.60410 0.21270 0.02391
157.44809 1.35878 0.09606 -0.34385 10.60410 0.20698 0.02132
172.47340 1.35878 0.09606 -0.34385 10.60410 0.19779 0.02305
187.52244 1.35878 0.09606 -0.34385 10.60410 0.20578 0.03378
210.35944 1.35878 0.09606 -0.34385 10.60410 0.12590 0.03364
256.08244 1.35878 0.09606 -0.34385 10.60410 0.35139 0.06512
277.91745 1.35878 0.09606 -0.34385 10.60410 0.38253 0.06171
293.05249 1.35878 0.09606 -0.34385 10.60410 0.52754 0.08970
20.83090 1.31734 0.10258 -0.49376 10.60410 2.28317 0.29396
36.39660 1.31734 0.10258 -0.49376 10.60410 0.77636 0.06219
51.74167 1.31734 0.10258 -0.49376 10.60410 0.31593 0.04160
72.99039 1.31734 0.10258 -0.49376 10.60410 0.31086 0.09232
119.25505 1.31734 0.10258 -0.49376 10.60410 0.10835 0.03432
142.41502 1.31734 0.10258 -0.49376 10.60410 0.09397 0.01606
157.47195 1.31734 0.10258 -0.49376 10.60410 0.07531 0.01219
172.47783 1.31734 0.10258 -0.49376 10.60410 0.09184 0.01497
187.51960 1.31734 0.10258 -0.49376 10.60410 0.07078 0.01934
202.53219 1.31734 0.10258 -0.49376 10.60410 0.09310 0.02953
256.03206 1.31734 0.10258 -0.49376 10.60410 0.09406 0.01539
277.90160 1.31734 0.10258 -0.49376 10.60410 0.17506 0.02374
293.05709 1.31734 0.10258 -0.49376 10.60410 0.24489 0.03679
308.27844 1.31734 0.10258 -0.49376 10.60410 0.34836 0.05189
323.57339 1.31734 0.10258 -0.49376 10.60410 0.72166 0.05672
339.14484 1.31734 0.10258 -0.49376 10.60410 2.80578 0.35359
20.96281 1.29884 0.11002 -0.65219 10.60410 1.07694 0.13750
36.44261 1.29884 0.11002 -0.65219 10.60410 0.38364 0.04308
51.74460 1.29884 0.11002 -0.65219 10.60410 0.18730 0.04243
73.07785 1.29884 0.11002 -0.65219 10.60410 0.12821 0.02583
149.74050 1.29884 0.11002 -0.65219 10.60410 0.04626 0.01044
187.64480 1.29884 0.11002 -0.65219 10.60410 0.02787 0.00888
249.31302 1.29884 0.11002 -0.65219 10.60410 0.04601 0.01130
286.94074 1.29884 0.11002 -0.65219 10.60410 0.08009 0.01710
318.66081 1.29884 0.11002 -0.65219 10.60410 0.25738 0.02976
338.99851 1.29884 0.11002 -0.65219 10.60410 1.09159 0.12838
21.96880 1.62764 0.10442 -0.12938 10.60410 10.36093 1.46331
36.94111 1.62764 0.10442 -0.12938 10.60410 5.25184 0.60444
51.99586 1.62764 0.10442 -0.12938 10.60410 3.75519 0.47164
67.07201 1.62764 0.10442 -0.12938 10.60410 3.20685 0.34717
82.16475 1.62764 0.10442 -0.12938 10.60410 1.89221 0.27483
103.91632 1.62764 0.10442 -0.12938 10.60410 1.16148 0.26352
142.40853 1.62764 0.10442 -0.12938 10.60410 0.74627 0.11517
179.98381 1.62764 0.10442 -0.12938 10.60410 0.71756 0.14306
271.33808 1.62764 0.10442 -0.12938 10.60410 1.49174 0.24205
292.89839 1.62764 0.10442 -0.12938 10.60410 2.75855 0.31509
307.99857 1.62764 0.10442 -0.12938 10.60410 3.88449 0.37931
323.04614 1.62764 0.10442 -0.12938 10.60410 6.13577 0.64215
338.05383 1.62764 0.10442 -0.12938 10.60410 7.69103 1.24424
36.70842 1.62492 0.10329 -0.20138 10.60410 3.82768 0.34554
51.85236 1.62492 0.10329 -0.20138 10.60410 1.90085 0.16409
67.00579 1.62492 0.10329 -0.20138 10.60410 1.43441 0.10970
82.12970 1.62492 0.10329 -0.20138 10.60410 1.36170 0.14888
97.17939 1.62492 0.10329 -0.20138 10.60410 1.20997 0.42702
112.25109 1.62492 0.10329 -0.20138 10.60410 0.63381 0.12289
