# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
5.47938 1.18516 0.102814 -0.149945 10.6041 -0.00401505 0.01612023
16.32953 1.18586 0.099858 -0.148208 10.6041 0.063576 0.017301795000000002
26.94323 1.18194 0.0947776 -0.15012 10.6041 0.0983536 0.01820742
37.68498 1.17988 0.0888319 -0.151467 10.6041 0.145918 0.017652809999999998
48.52907 1.17857 0.0824138 -0.152116 10.6041 0.165289 0.019299105
58.72015 1.16788 0.0782282 -0.150373 10.6041 0.226742 0.02316951
69.4253 1.15671 0.0774572 -0.144887 10.6041 0.170445 0.037675155
80.05023 1.1555 0.082693 -0.140749 10.6041 0.201054 0.053856705
93.92096 1.15122 0.104445 -0.150041 10.6041 0.196896 0.07239193499999999
106.086 1.19062 0.107031 -0.155099 10.6041 0.19516 0.08467851
117.60474 1.1814 0.102218 -0.155653 10.6041 0.22057 0.061830300000000005
127.87215 1.17967 0.101209 -0.160727 10.6041 0.102624 0.06232002
138.88783 1.15607 0.100587 -0.163499 10.6041 0.153486 0.048388305000000006
149.45661 1.15556 0.0983155 -0.163251 10.6041 0.197954 0.05006169
160.05977 1.16136 0.0985263 -0.165462 10.6041 0.0944589 0.05028429
170.68585 1.16555 0.100614 -0.168255 10.6041 -0.000287466 0.061018859999999994
181.37265 1.1525 0.0976829 -0.16482 10.6041 0.051989 0.06777330000000001
192.60492 1.16772 0.0992419 -0.16385 10.6041 -0.093807 0.07299663
203.2797 1.17179 0.10016 -0.161178 10.6041 -0.00275131 0.070916685
213.91952 1.16174 0.104059 -0.162129 10.6041 -0.181496 0.09015447
230.53358 1.17603 0.10936 -0.162285 10.6041 -0.434516 0.10685955
274.30412 1.14054 0.0814467 -0.154093 10.6041 -0.396749 0.13553715
287.03581 1.15723 0.076309 -0.15134 10.6041 -0.138658 0.060730740000000005
297.5811 1.15929 0.0768801 -0.151423 10.6041 -0.209361 0.033554955000000004
308.07769 1.1773 0.0807721 -0.152208 10.6041 -0.21347 0.022153215
318.63501 1.182 0.0864401 -0.152337 10.6041 -0.153312 0.019843215
329.21009 1.18075 0.0924334 -0.151478 10.6041 -0.0964044 0.01881915
339.94159 1.18546 0.0980345 -0.15162 10.6041 -0.152948 0.01989981
352.76037 1.18639 0.10224 -0.149888 10.6041 -0.0428874 0.01649109
5.54739 1.17135 0.172113 -0.16118 10.6041 0.00788785 0.042467985
