campaign_key,campaign_label,iq2,ixb,it,iphi,Q2_low_GeV2,Q2_high_GeV2,Q2_flux_coordinate_GeV2,xB_low,xB_high,xB_flux_coordinate,beam_energy_GeV,virtual_photon_epsilon,minus_t_low_GeV2,minus_t_high_GeV2,minus_t_center_GeV2,phi_low_deg,phi_high_deg,phi_center_deg,reduced_cross_section_nb_per_GeV2_rad,propagated_statistical_and_finite_MC_uncertainty_nb_per_GeV2_rad,relative_uncertainty,combination_contributor_count,torus_plus1_BLUE_weight,torus_minus1_BLUE_weight
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,0,4,9,1,1.5,1.013888888888889,0.05,0.1,0.09861111111111111,6.535,0.299905031459897,0.4,0.6,0.5,162,180,171,59.19689204456657,65.91070028895435,1.113414877242766,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,0,4,11,1,1.5,1.013888888888889,0.05,0.1,0.09861111111111111,6.535,0.299905031459897,0.4,0.6,0.5,198,216,207,9.355092589469002,20.62849486730698,2.20505512586037,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,0,5,11,1,1.5,1.013888888888889,0.05,0.1,0.09861111111111111,6.535,0.299905031459897,0.6,1,0.8,198,216,207,11.49831310105786,24.57852561153491,2.137576651071856,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,0,6,9,1,1.5,1.013888888888889,0.05,0.1,0.09861111111111111,6.535,0.299905031459897,1,1.5,1.25,162,180,171,7.733034265086308,11.88972286953143,1.537523624227563,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,0,6,17,1,1.5,1.013888888888889,0.05,0.1,0.09861111111111111,6.535,0.299905031459897,1,1.5,1.25,306,324,315,32.39589438510765,30.16632339562706,0.9311773596068542,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,0,4,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.09,0.15,0.12,72,90,81,84.90552475248026,19.92597326206741,0.2346840599614259,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,0,5,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.09,0.15,0.12,90,108,99,50.43861459241072,13.51348431708108,0.2679194190062944,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,0,6,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.09,0.15,0.12,108,126,117,75.8214774548848,13.80711536241029,0.1821003207254275,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,0,7,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.09,0.15,0.12,126,144,135,55.81503759883475,11.509717228166,0.2062117616204256,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,0,8,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.09,0.15,0.12,144,162,153,24.09366708488235,6.325987181014122,0.2625580887594892,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,0,9,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.09,0.15,0.12,162,180,171,32.97821272034997,9.501705770115748,0.2881207011031408,,,
