Data points entering Im-fit:
 Point 1, xB=0.0927547, Q2=1.17888, -t=0.151521, Amp=0.237363, sigma=0.00885776
 Point 2, xB=0.166674, Q2=1.19531, -t=0.16343, Amp=0.320178, sigma=0.0248167
 Point 3, xB=0.238517, Q2=1.22774, -t=0.187961, Amp=0.283402, sigma=0.0554642
 Point 4, xB=0.0976162, Q2=1.17382, -t=0.289792, Amp=0.235671, sigma=0.00895075
 Point 5, xB=0.153113, Q2=1.22117, -t=0.330567, Amp=0.220085, sigma=0.0332447
 Point 6, xB=0.239644, Q2=1.23478, -t=0.332137, Amp=0.233077, sigma=0.0949755
 Point 7, xB=0.0950126, Q2=1.16583, -t=0.567175, Amp=0.17166, sigma=0.0126451
 Point 8, xB=0.156235, Q2=1.21278, -t=0.565831, Amp=0.158064, sigma=0.0258661
 Point 9, xB=0.235594, Q2=1.23003, -t=0.634093, Amp=0.202385, sigma=0.101413
 Point 10, xB=0.0935406, Q2=1.1675, -t=0.983362, Amp=0.114025, sigma=0.0371631
 Point 11, xB=0.154409, Q2=1.23477, -t=1.06354, Amp=-0.0514813, sigma=0.0652917
 Point 12, xB=0.113206, Q2=1.56834, -t=0.15309, Amp=0.243275, sigma=0.0141368
 Point 13, xB=0.16322, Q2=1.6107, -t=0.169647, Amp=0.345908, sigma=0.0211871
 Point 14, xB=0.25392, Q2=1.60737, -t=0.198252, Amp=0.366493, sigma=0.0420493
 Point 15, xB=0.113445, Q2=1.55776, -t=0.290225, Amp=0.268884, sigma=0.0144154
 Point 16, xB=0.149634, Q2=1.60954, -t=0.313182, Amp=0.331956, sigma=0.0240838
 Point 17, xB=0.256364, Q2=1.60017, -t=0.347671, Amp=0.28859, sigma=0.0552028
 Point 18, xB=0.112114, Q2=1.55797, -t=0.561246, Amp=0.147216, sigma=0.0204017
 Point 19, xB=0.160463, Q2=1.59566, -t=0.573654, Amp=0.257571, sigma=0.0268777
 Point 20, xB=0.251363, Q2=1.61091, -t=0.657412, Amp=0.157109, sigma=0.057728
 Point 21, xB=0.111508, Q2=1.55891, -t=1.0588, Amp=0.0902536, sigma=0.0597108
 Point 22, xB=0.160914, Q2=1.596, -t=1.14743, Amp=0.15088, sigma=0.0536046
 Point 23, xB=0.140346, Q2=2.04584, -t=0.159888, Amp=0.258693, sigma=0.018367
 Point 24, xB=0.202134, Q2=2.12504, -t=0.183558, Amp=0.337003, sigma=0.0253148
 Point 25, xB=0.308604, Q2=2.11734, -t=0.236698, Amp=0.334679, sigma=0.0596965
 Point 26, xB=0.143147, Q2=2.02278, -t=0.298578, Amp=0.220576, sigma=0.0176085
 Point 27, xB=0.184977, Q2=2.1521, -t=0.328389, Amp=0.27867, sigma=0.0298697
 Point 28, xB=0.308593, Q2=2.12669, -t=0.393524, Amp=0.24413, sigma=0.067815
 Point 29, xB=0.141818, Q2=2.01602, -t=0.568773, Amp=0.19011, sigma=0.0239945
 Point 30, xB=0.189076, Q2=2.11352, -t=0.588125, Amp=0.294835, sigma=0.0301577
 Point 31, xB=0.31174, Q2=2.12639, -t=0.663477, Amp=0.103122, sigma=0.0879868
 Point 32, xB=0.140963, Q2=2.01428, -t=1.13187, Amp=0.162112, sigma=0.0556181
 Point 33, xB=0.19984, Q2=2.10754, -t=1.2076, Amp=0.164908, sigma=0.0499143
 Point 34, xB=0.300628, Q2=2.14069, -t=1.24787, Amp=0.107091, sigma=0.119827
 Point 35, xB=0.179837, Q2=2.71324, -t=0.178024, Amp=0.214788, sigma=0.0281
 Point 36, xB=0.261841, Q2=2.78346, -t=0.212852, Amp=0.389767, sigma=0.0269098
 Point 37, xB=0.382815, Q2=2.82649, -t=0.313743, Amp=0.350302, sigma=0.0646643
 Point 38, xB=0.186362, Q2=2.71327, -t=0.320049, Amp=0.233626, sigma=0.0216821
 Point 39, xB=0.253459, Q2=2.87618, -t=0.363355, Amp=0.351636, sigma=0.0289655
 Point 40, xB=0.384614, Q2=2.84774, -t=0.481642, Amp=0.327116, sigma=0.0692475
 Point 41, xB=0.188258, Q2=2.6836, -t=0.576426, Amp=0.244306, sigma=0.0268575
 Point 42, xB=0.241399, Q2=2.85432, -t=0.628146, Amp=0.294804, sigma=0.0372894
 Point 43, xB=0.382996, Q2=2.83883, -t=0.738598, Amp=0.116435, sigma=0.0918444
 Point 44, xB=0.18656, Q2=2.69276, -t=1.23742, Amp=0.0923521, sigma=0.0600391
 Point 45, xB=0.257105, Q2=2.82455, -t=1.29122, Amp=0.186915, sigma=0.0544317
 Point 46, xB=0.383095, Q2=2.85513, -t=1.47077, Amp=0.229693, sigma=0.172841
 Point 47, xB=0.260387, Q2=3.62684, -t=0.228355, Amp=0.267909, sigma=0.0366631
 Point 48, xB=0.408719, Q2=4.06704, -t=0.349878, Amp=0.249093, sigma=0.0438213
 Point 49, xB=0.257226, Q2=3.75502, -t=0.369507, Amp=0.340413, sigma=0.0256527
 Point 50, xB=0.3986, Q2=4.03502, -t=0.505159, Amp=0.28913, sigma=0.0449109
 Point 51, xB=0.269737, Q2=3.88065, -t=0.637461, Amp=0.227167, sigma=0.0287369
 Point 52, xB=0.406295, Q2=4.11193, -t=0.778326, Amp=0.252037, sigma=0.0545815
 Point 53, xB=0.278175, Q2=3.83503, -t=1.34074, Amp=0.174775, sigma=0.0472085
 Point 54, xB=0.394938, Q2=4.19872, -t=1.67745, Amp=0.196634, sigma=0.0762789
 Point 55, xB=0.453804, Q2=5.93125, -t=0.416261, Amp=0.279464, sigma=0.0491516
 Point 56, xB=0.435155, Q2=5.75758, -t=0.571849, Amp=0.370287, sigma=0.0545641
 Point 57, xB=0.404278, Q2=5.66317, -t=0.803119, Amp=0.286149, sigma=0.0614834
 Point 58, xB=0.424709, Q2=5.86724, -t=1.87019, Amp=0.240345, sigma=0.0670721
 Point 59, xB=0.614986, Q2=7.23207, -t=2.77972, Amp=0.085917, sigma=0.146275
 Point 60, xB=0.0989018, Q2=1.35451, -t=0.148554, Amp=0.242656, sigma=0.0398959
 Point 61, xB=0.0973182, Q2=1.35433, -t=0.285092, Amp=0.298542, sigma=0.0498406
 Point 62, xB=0.115861, Q2=1.59643, -t=0.151467, Amp=0.245128, sigma=0.0210813
 Point 63, xB=0.151074, Q2=1.69154, -t=0.172054, Amp=0.333558, sigma=0.0451739
 Point 64, xB=0.250997, Q2=1.70905, -t=0.194743, Amp=0.58386, sigma=0.0700895
 Point 65, xB=0.116156, Q2=1.59048, -t=0.290331, Amp=0.222198, sigma=0.0224007
 Point 66, xB=0.145017, Q2=1.67446, -t=0.303537, Amp=0.349261, sigma=0.0500789
 Point 67, xB=0.114811, Q2=1.58433, -t=0.569281, Amp=0.214051, sigma=0.0314117
 Point 68, xB=0.154997, Q2=1.66787, -t=0.568273, Amp=0.0977788, sigma=0.0509602
 Point 69, xB=0.114477, Q2=1.58344, -t=1.04811, Amp=-0.0610955, sigma=0.114149
 Point 70, xB=0.143613, Q2=2.02656, -t=0.160148, Amp=0.243726, sigma=0.0229334
 Point 71, xB=0.196386, Q2=2.16055, -t=0.182286, Amp=0.334009, sigma=0.0237636
 Point 72, xB=0.308575, Q2=2.14643, -t=0.238313, Amp=0.299316, sigma=0.0494691
 Point 73, xB=0.145543, Q2=2.00444, -t=0.297549, Amp=0.263497, sigma=0.021653
 Point 74, xB=0.182061, Q2=2.15931, -t=0.326245, Amp=0.246561, sigma=0.0299522
 Point 75, xB=0.311101, Q2=2.1591, -t=0.38814, Amp=0.377644, sigma=0.0664794
 Point 76, xB=0.14463, Q2=2.00384, -t=0.573501, Amp=0.190954, sigma=0.0289532
 Point 77, xB=0.190049, Q2=2.12669, -t=0.588311, Amp=0.208071, sigma=0.0314589
 Point 78, xB=0.308506, Q2=2.17068, -t=0.653631, Amp=-0.0407587, sigma=0.168352
 Point 79, xB=0.143477, Q2=2.00559, -t=1.10735, Amp=0.172458, sigma=0.0808496
 Point 80, xB=0.197527, Q2=2.12843, -t=1.16937, Amp=0.0418148, sigma=0.0509317
 Point 81, xB=0.184168, Q2=2.66693, -t=0.182803, Amp=0.239822, sigma=0.0355476
 Point 82, xB=0.261131, Q2=2.79589, -t=0.215279, Amp=0.419924, sigma=0.0242078
 Point 83, xB=0.384998, Q2=2.83478, -t=0.313155, Amp=0.230702, sigma=0.0528478
 Point 84, xB=0.190055, Q2=2.66891, -t=0.321372, Amp=0.268566, sigma=0.0255528
 Point 85, xB=0.25062, Q2=2.88896, -t=0.35987, Amp=0.341116, sigma=0.0266108
 Point 86, xB=0.380315, Q2=2.86087, -t=0.470533, Amp=0.325561, sigma=0.0631789
 Point 87, xB=0.191037, Q2=2.63961, -t=0.583344, Amp=0.20323, sigma=0.0340419
 Point 88, xB=0.240282, Q2=2.85541, -t=0.622433, Amp=0.284939, sigma=0.0348206
 Point 89, xB=0.391316, Q2=2.87783, -t=0.730784, Amp=0.393689, sigma=0.0682945
 Point 90, xB=0.255881, Q2=2.84014, -t=1.24629, Amp=0.0649319, sigma=0.0531036
 Point 91, xB=0.27251, Q2=3.58417, -t=0.236056, Amp=0.197775, sigma=0.0405668
 Point 92, xB=0.410579, Q2=4.07172, -t=0.343065, Amp=0.310105, sigma=0.0370768
 Point 93, xB=0.265055, Q2=3.71155, -t=0.377416, Amp=0.270741, sigma=0.0298078
 Point 94, xB=0.399874, Q2=4.03752, -t=0.504826, Amp=0.36585, sigma=0.0375228
 Point 95, xB=0.275939, Q2=3.81589, -t=0.639775, Amp=0.263853, sigma=0.0331521
 Point 96, xB=0.407217, Q2=4.14259, -t=0.78292, Amp=0.264168, sigma=0.0547631
 Point 97, xB=0.282031, Q2=3.76935, -t=1.35078, Amp=0.230598, sigma=0.0559768
 Point 98, xB=0.394051, Q2=4.25137, -t=1.64747, Amp=0.151863, sigma=0.077678
 Point 99, xB=0.459979, Q2=5.83086, -t=0.419417, Amp=0.211975, sigma=0.0498486
 Point 100, xB=0.456884, Q2=5.80533, -t=0.606547, Amp=0.411358, sigma=0.0470108
 Point 101, xB=0.426565, Q2=5.68, -t=0.841883, Amp=0.196201, sigma=0.0806784
 Point 102, xB=0.441769, Q2=5.90317, -t=2.0064, Amp=0.0367788, sigma=0.10067
