# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
136.56 1.08 0.08 -0.33 10.59 -0.10 0.22
106.33 1.08 0.08 -0.50 10.59 0.41 0.20
136.45 1.08 0.08 -0.50 10.59 0.24 0.13
163.46 1.08 0.08 -0.50 10.59 0.02 0.12
194.62 1.08 0.08 -0.50 10.59 0.00 0.18
136.12 1.08 0.08 -0.70 10.59 0.23 0.15
163.80 1.08 0.08 -0.70 10.59 -0.25 0.25
225.85 1.09 0.08 -0.69 10.59 -0.81 0.86
254.86 1.08 0.08 -0.71 10.59 -0.35 0.22
106.50 1.08 0.08 -0.89 10.59 -0.89 0.96
163.64 1.08 0.08 -0.90 10.59 0.17 0.17
193.78 1.08 0.08 -0.89 10.59 0.43 0.58
256.00 1.09 0.08 -0.90 10.59 -0.43 0.22
283.92 1.09 0.08 -0.90 10.59 -0.32 0.23
136.72 1.28 0.09 -0.49 10.59 -0.12 0.30
134.62 1.29 0.09 -0.70 10.59 0.56 0.23
192.13 1.27 0.09 -0.70 10.59 0.00 1.00
228.25 1.28 0.08 -0.70 10.59 -0.10 0.63
253.27 1.27 0.09 -0.71 10.59 -0.32 0.43
136.32 1.28 0.08 -0.89 10.59 -0.39 0.57
137.95 1.09 0.10 -0.13 10.59 -0.22 0.41
106.83 1.09 0.11 -0.20 10.59 -0.12 0.33
136.76 1.09 0.10 -0.20 10.59 0.19 0.15
163.84 1.09 0.10 -0.20 10.59 0.13 0.28
222.96 1.09 0.11 -0.20 10.59 -0.70 0.39
105.47 1.09 0.10 -0.32 10.59 0.85 0.45
136.45 1.09 0.10 -0.32 10.59 0.15 0.16
164.00 1.09 0.10 -0.32 10.59 0.11 0.13
194.88 1.09 0.10 -0.32 10.59 0.40 0.43
77.68 1.10 0.11 -0.49 10.59 0.51 0.67
105.72 1.09 0.10 -0.50 10.59 0.28 0.34
135.90 1.09 0.10 -0.50 10.59 0.28 0.27
163.79 1.09 0.10 -0.50 10.59 -0.00 0.13
194.92 1.09 0.10 -0.50 10.59 -0.11 0.40
224.99 1.09 0.10 -0.50 10.59 0.23 0.38
282.86 1.09 0.11 -0.51 10.59 -0.69 0.54
77.16 1.09 0.11 -0.70 10.59 0.17 0.33
135.66 1.09 0.10 -0.69 10.59 -0.23 0.24
164.01 1.09 0.10 -0.70 10.59 -0.05 0.22
225.63 1.09 0.10 -0.70 10.59 -0.58 0.77
255.99 1.09 0.10 -0.70 10.59 -0.37 0.35
282.64 1.09 0.11 -0.71 10.59 -0.80 0.36
75.41 1.09 0.11 -0.90 10.59 -0.07 0.28
104.69 1.09 0.11 -0.90 10.59 0.13 0.78
135.95 1.09 0.10 -0.89 10.59 0.05 0.89
164.00 1.09 0.10 -0.89 10.59 0.36 0.70
194.77 1.09 0.10 -0.90 10.59 -0.34 0.41
283.61 1.09 0.10 -0.90 10.59 -0.27 0.15
163.57 1.32 0.10 -0.20 10.59 0.47 0.67
223.66 1.31 0.11 -0.20 10.59 0.09 0.41
105.51 1.32 0.11 -0.33 10.59 0.04 0.19
135.99 1.32 0.10 -0.32 10.59 0.75 0.30
163.41 1.32 0.10 -0.32 10.59 0.05 0.12
224.83 1.31 0.11 -0.32 10.59 0.03 0.22
74.35 1.35 0.10 -0.49 10.59 0.69 0.19
105.18 1.31 0.11 -0.49 10.59 0.18 0.15
136.14 1.33 0.10 -0.50 10.59 0.13 0.16
163.55 1.33 0.10 -0.50 10.59 -0.03 0.13
194.49 1.31 0.11 -0.50 10.59 0.21 0.20
224.99 1.31 0.11 -0.50 10.59 -0.41 0.19
254.81 1.32 0.11 -0.51 10.59 -0.56 0.16
286.45 1.35 0.10 -0.50 10.59 -0.29 0.17
73.93 1.34 0.10 -0.70 10.59 0.70 0.32
105.17 1.31 0.11 -0.69 10.59 0.99 0.95
136.22 1.32 0.10 -0.69 10.59 0.05 0.21
164.01 1.32 0.10 -0.70 10.59 -0.24 0.14
194.86 1.31 0.10 -0.70 10.59 -0.39 0.23
255.72 1.32 0.10 -0.70 10.59 -0.23 0.19
284.50 1.33 0.10 -0.71 10.59 -0.32 0.40
42.26 1.35 0.10 -0.91 10.59 0.15 0.17
72.87 1.34 0.10 -0.90 10.59 0.37 0.35
105.21 1.31 0.11 -0.90 10.59 0.35 0.38
137.21 1.33 0.10 -0.89 10.59 0.05 0.40
163.50 1.33 0.10 -0.90 10.59 -0.56 0.40
193.06 1.31 0.10 -0.89 10.59 -0.19 0.73
225.78 1.31 0.11 -0.90 10.59 0.04 0.36
256.87 1.32 0.10 -0.90 10.59 -0.62 0.22
284.91 1.33 0.10 -0.90 10.59 -0.10 0.17
163.31 1.60 0.11 -0.20 10.59 0.50 0.27
135.70 1.60 0.11 -0.32 10.59 0.19 0.15
163.22 1.60 0.11 -0.32 10.59 0.17 0.18
193.41 1.59 0.11 -0.32 10.59 -0.19 0.37
315.25 1.62 0.11 -0.33 10.59 -0.15 0.08
70.25 1.63 0.11 -0.49 10.59 0.06 0.12
136.23 1.60 0.11 -0.49 10.59 0.51 0.23
163.77 1.59 0.11 -0.50 10.59 0.16 0.13
193.81 1.59 0.11 -0.49 10.59 -0.19 0.21
44.65 1.63 0.11 -0.70 10.59 0.21 0.10
289.45 1.62 0.11 -0.69 10.59 -0.28 0.15
44.62 1.62 0.11 -0.90 10.59 0.19 0.06
67.01 1.62 0.11 -0.89 10.59 0.13 0.20
136.77 1.59 0.11 -0.89 10.59 0.33 0.31
