,Bin Name,xBmin,xBmax,xBavg,Q2min,Q2max,Q2avg,t_abs_min,t_abs_max,t_abs_avg,phimin,phimax,phiavg,tmin,tcol,P1,P2,maxP1P2,minP1P2,intP1P2,"raw yield, ep->epg, (FD, FD), exp, inbending","raw yield, ep->epg, (CD, FD), exp, inbending","raw yield, ep->epg, (CD, FT), exp, inbending","raw yield, ep->epg, (FD, FD), exp, outbending","raw yield, ep->epg, (CD, FD), exp, outbending","raw yield, ep->epg, (CD, FT), exp, outbending","raw yield, ep->eppi0, (FD, FD), exp, inbending","raw yield, ep->eppi0, (CD, FD), exp, inbending","raw yield, ep->eppi0, (CD, FT), exp, inbending","raw yield, ep->eppi0, (FD, FD), exp, outbending","raw yield, ep->eppi0, (CD, FD), exp, outbending","raw yield, ep->eppi0, (CD, FT), exp, outbending","contamination ratio, inbending","contamination ratio, outbending","signal yield, ep->epg, exp, inbending","signal yield, ep->epg, exp, outbending","signal yield, ep->epg, sim(KM15), inbending","signal yield, ep->epg, sim(KM15), outbending","signal yield, ep->epg, sim(pureBH), inbending","signal yield, ep->epg, sim(pureBH), outbending","signal yield, ep->epg, sim(VGG), inbending","signal yield, ep->epg, sim(VGG), outbending","acceptance, ep->epg, sim(KM15)","acceptance, ep->epg, sim(pureBH)","acceptance, ep->epg, sim(VGG)","acceptance corrected yield, ep->epg, exp","acceptance corrected yield, ep->epg, sim(KM15)","acceptance corrected yield, ep->epg, sim(pureBH)","acceptance corrected yield, ep->epg, sim(VGG)",Frad,Fbin,Frad*Fbin,bin_volume,bin_volume_cube,"cross sections, ep->epg, exp","cross sections, ep->epg, sim(KM15)","cross sections, ep->epg, sim(pureBH)","cross sections, ep->epg, sim(VGG)","cross sections, ep->epg, exp, stat. unc.","cross sections, ep->epg, exp, syst. unc. (up)","cross sections, ep->epg, exp, syst. unc. (down)",valid bin,cross section prefactor,BH2 prefactor,BH2 c0,BH2 c1,BH2 c2,Int prefactor,Int c0 (KM15),Int c1 (KM15),Int c2 (KM15),DVCS2 prefactor,DVCS2 c0 (KM15),DVCS2 c1 (KM15)
4,1,0.062,0.09,0.07209300305298569,1.0,1.2,1.0910397415363369,0.11,0.15,0.1301280404223409,120,150,134.34723253922556,-0.0048885393377208035,0.2764223501037013,-0.032333855086847225,0.9130641021453986,-0.0006490475877371757,-0.23681879802451472,-4.213313669567015,0,0,0,0,52,0,0,0,0,0,2,0,0.0,0.02979601155519341,0.0,50.87175038501204,0.0,46.49644051648517,0.0,32.54952434409617,0.0,63.22890311480717,0.0022836453900060886,0.0022569791291542755,0.0026464525337747597,22276.554235452648,20360.621977460873,14421.7214610633,23891.94678833737,1.0660334339814213,0.8604940929591148,0.9170773859251751,0.000103104133711125,0.00011728612573401887,2.8467281923633942,2.451111374826939,1.7041237949381691,2.7812645469459323,0.4737197999379312,1.3128411168312324,1.3128411168312324,1,0.00020915398330877483,2102.6119530409646,4.737128722059528,-0.21756360691065155,-0.009085810473993147,206.05492973387848,3.709692442637303,5.027965541136721,0.0,206.05492973387848,372.0533551810696,0.0
5,1,0.062,0.09,0.07209300305298569,1.0,1.2,1.0910397415363369,0.11,0.15,0.1301280404223409,150,165,157.45534312137323,-0.0048885393377208035,0.2764223501037013,-0.03246235196673396,0.9131925990252853,-0.0008600420409499061,-0.23415448342667,-4.213313669567015,0,0,0,0,40,0,0,0,0,0,2,0,0.0,0.030749146815276653,0.0,39.07353469009643,0.0,37.78476948062113,0.0,25.21654188990178,0.0,45.284828147650074,0.004190822243606127,0.004240086907692741,0.004301099828899441,9323.596282259483,9016.075434425493,5947.175715703303,10528.662423359163,1.0756549573354872,0.8629563298359206,0.9279864005731241,5.15520668555625e-05,5.864306286700944e-05,2.3549181458353035,2.098321890844485,1.4050961428879956,2.4637713187292882,0.44645897185056943,0.3402296655457543,0.3402296655457543,1,0.00020915398330877483,1765.5473870389012,4.737128722059528,-0.21756360691065155,-0.009085810473993147,173.0227692522995,3.709692442637303,5.027965541136721,0.0,173.0227692522995,372.0533551810696,0.0
6,1,0.062,0.09,0.07209300305298569,1.0,1.2,1.0910397415363369,0.11,0.15,0.1301280404223409,165,195,179.98248465696543,-0.0048885393377208035,0.2764223501037013,-0.032607192694668705,0.91333743975322,-0.0009148646835975912,-0.23968242719684202,-4.213313669567015,0,0,0,0,26,0,0,0,0,0,1,0,0.0,0.044709731892784044,0.0,25.004538882509323,0.0,26.5744226335983,0.0,16.00968875832027,0.0,35.636218328420895,0.0015555984732322132,0.0014249637090857504,0.0017456660308702865,16073.90294653288,17083.086086078576,11235.155433251002,20414.109971914142,1.0767323536610265,0.8701939417618625,0.9369783288388742,0.000103104133711125,0.00011728612573401887,2.010461531714828,1.9976587284839837,1.3318665386340003,2.3858023377909845,0.4630733969087321,0.7132864710532343,0.7132864710532343,1,0.00020915398330877483,1669.8290022648866,4.737128722059528,-0.21756360691065155,-0.009085810473993147,163.64241496470754,3.709692442637303,5.027965541136721,0.0,163.64241496470754,372.0533551810696,0.0
18,2,0.062,0.09,0.06929405036191297,1.0,1.2,1.0928170652777671,0.15,0.25,0.2067495372694306,120,135,127.288217714368,-0.004505805070959099,0.23988640552198612,-0.0017305047311862826,0.8125409835949292,-0.0001922579998558851,-0.15135417528613432,-4.430530788413479,0,0,0,0,45,0,0,0,0,0,3,0,0.0,0.02431481446186227,0.0,44.23354638436272,0.0,34.66540553680746,0.0,21.805914400932245,0.0,43.530246691016,0.0025374603569196063,0.0025595066780122575,0.002504014084575438,17432.211803324797,13661.45699272722,8519.577068604083,17384.186039191816,1.0913452176740377,0.8106590423572223,0.8851986426302797,0.00012889690973335417,0.00014660765716752362,1.846074822157923,1.3283891197968785,0.8029178636668663,1.6007009478911458,0.35420431744991004,0.5978040152701474,0.5978040152701474,1,0.00021774172034623638,1330.9258405530943,3.681144861690061,-0.14603165047763517,-0.0035062261165610975,119.99499678071767,4.786365754343138,5.028677422948989,0.0,119.99499678071767,259.4869339822221,0.0
19,2,0.062,0.09,0.06929405036191297,1.0,1.2,1.0928170652777671,0.15,0.25,0.2067495372694306,135,150,142.4071439182063,-0.004505805070959099,0.23988640552198612,-0.001818565751744867,0.8126290446154878,-0.0002472183095620766,-0.14787538716307305,-4.430530788413479,0,0,0,0,162,0,0,0,0,0,8,0,0.0,0.019379660160179356,0.0,160.2554085597267,0.0,110.52107389506935,0.0,67.20632167515508,0.0,157.36463356072088,0.00936744691659041,0.009398206744997608,0.010028518960599683,17107.69326868595,11798.420090251991,7150.97289287949,15691.712223806855,1.1049493776406154,0.8181236795195911,0.9028095986909006,0.00012889690973335417,0.00014660765716752362,1.776367552360662,1.1536761199094392,0.6760646305130297,1.4499220905533614,0.18155815695696878,0.3205617348130894,0.3205617348130894,1,0.00021774172034623638,1129.73297484745,3.681144861690061,-0.14603165047763517,-0.0035062261165610975,101.8556410502591,4.786365754343138,5.028677422948989,0.0,101.8556410502591,259.4869339822221,0.0
20,2,0.062,0.09,0.06929405036191297,1.0,1.2,1.0928170652777671,0.15,0.25,0.2067495372694306,150,165,157.4239139128426,-0.004505805070959099,0.23988640552198612,-0.0019157987366880168,0.8127262776004309,-0.0003020305305831781,-0.14899813353894384,-4.430530788413479,0,0,0,0,188,0,0,0,0,0,12,0,0.0,0.026879260095013974,0.0,184.51225844491043,0.0,131.07948968146795,0.0,80.96872282817519,0.0,182.55597420750507,0.011734740768791116,0.012685991920094234,0.012402692883203713,15723.59049768071,11170.20752857853,6382.529906859167,14719.059475763575,1.111412394701595,0.819943118368371,0.9102907381910202,0.00012889690973335417,0.00014660765716752362,1.6192322502799417,1.0537032442532202,0.6019699111442164,1.366241426432651,0.15469440364181306,0.16178265063575178,0.16178265063575178,1,0.00021774172034623638,1015.294675279204,3.681144861690061,-0.14603165047763517,-0.0035062261165610975,91.53799376303245,4.786365754343138,5.028677422948989,0.0,91.53799376303245,259.4869339822221,0.0
21,2,0.062,0.09,0.06929405036191297,1.0,1.2,1.0928170652777671,0.15,0.25,0.2067495372694306,165,180,172.45799416402753,-0.004505805070959099,0.23988640552198612,-0.002022892468900757,0.8128333713326437,-0.0003664794455785821,-0.1531684804320101,-4.430530788413479,0,0,0,0,86,0,0,0,0,0,6,0,0.0,0.02827203628515928,0.0,84.28614664455077,0.0,67.99899504559869,0.0,37.46097102215622,0.0,101.78430335963108,0.006253363503554626,0.006235014508796914,0.007150358692504042,13478.529849838354,10873.98725612956,6008.161002561093,14234.852786662988,1.1037687861369023,0.8248576288809908,0.9111447431075527,0.00012889690973335417,0.00014660765716752362,1.386732504658559,1.0077072196251085,0.5681382144287127,1.322897777311934,0.1875776408557973,0.3598598632968249,0.3598598632968249,1,0.00021774172034623638,962.8415698549976,3.681144861690061,-0.14603165047763517,-0.0035062261165610975,86.80887210596053,4.786365754343138,5.028677422948989,0.0,86.80887210596053,259.4869339822221,0.0
22,2,0.062,0.09,0.06929405036191297,1.0,1.2,1.0928170652777671,0.15,0.25,0.2067495372694306,180,210,195.19010071317825,-0.004505805070959099,0.23988640552198612,-0.0022033420860592917,0.8130138209498022,-0.00044266277959699706,-0.15105574872245026,-4.430530788413479,0,0,0,0,36,0,0,0,0,0,0,0,0.0,0.02564218793924811,0.0,35.330256427900935,0.0,30.89423013637015,0.0,17.767088840962856,0.0,45.728233960466376,0.0014121823491520331,0.0014316670662265158,0.0015807078482063383,25018.197153586814,21876.94114355775,12410.070232174901,28928.95990385266,1.1121055939298787,0.8248481615344323,0.9180996071443981,0.00025779381946670833,0.00029321531433504724,1.2772436666978892,1.0250619033707993,0.5837486517216318,1.343348598939831,0.2528704086621232,0.2178422222825921,0.2178422222825921,1,0.00021774172034623638,982.6168077026103,3.681144861690061,-0.14603165047763517,-0.0035062261165610975,88.5917885762547,4.786365754343138,5.028677422948989,0.0,88.5917885762547,259.4869339822221,0.0
38,3,0.062,0.09,0.07583879789198403,1.0,1.2,1.0938788583219805,0.25,0.4,0.3144445417767074,120,135,127.32386876119497,-0.005426707206550238,0.31848649982322086,-0.00055577215258655,0.7130974860869174,-0.00025613517143419356,-0.04585262994242161,-8.071822442374344,0,0,0,0,24,0,0,0,0,0,0,0,0.0,0.023596066871933382,0.0,23.660575717228873,0.0,18.079219291631208,0.0,11.349949179889084,0.0,32.103495262000266,0.0022843528815141008,0.0027655709476676824,0.002621209219785211,10357.671053671145,7914.372353735492,4104.016636948314,12247.589784012323,1.1402656329245744,1.013817037606133,1.1582308652407436,0.00019335981278464584,0.00021991148575128546,0.5588314161878258,0.4005567532513456,0.2567681473222357,0.7416329689492835,0.13821284755826643,0.07178088478300881,0.07178088478300881,1,0.0001986536133042191,471.49446040909066,2.7669104101316906,-0.14990496719988936,-0.0011113582229062054,51.174528915833086,5.802237958531705,5.752810352955849,0.0,51.174528915833086,160.38830357598138,0.0
39,3,0.062,0.09,0.07583879789198403,1.0,1.2,1.0938788583219805,0.25,0.4,0.3144445417767074,135,150,142.39478605909915,-0.005426707206550238,0.31848649982322086,-0.0006911284269205975,0.7132328423612515,-0.0003277331763637002,-0.04462826750000856,-8.071822442374344,0,0,0,0,107,0,0,0,0,0,8,0,0.0,0.01984897118370775,0.0,106.01764319695648,0.0,80.20232285476962,0.0,41.85221713600189,0.0,137.9192653065527,0.010765228062823854,0.012305249742036664,0.012318581272208307,9848.155801090083,7450.1276133421325,3401.16763278913,11196.03485652276,1.1521676242888883,1.0149486717984084,1.168856304623833,0.00019335981278464584,0.00021991148575128546,0.5265112072225189,0.35097205367298834,0.2131519349687073,0.6797137140614073,0.06212173582087344,0.13937638746218156,0.13937638746218156,1,0.0001986536133042191,394.37317479659146,2.7669104101316906,-0.14990496719988936,-0.0011113582229062054,42.80402662577697,5.802237958531705,5.752810352955849,0.0,42.80402662577697,160.38830357598138,0.0
