bin 	 bin	 xB 	 xB 	 xB 	 Q2 	 Q2 	 Q2 	 |t| 	 |t| 	 |t| 	 t_min 	 t_col  
number 	name 	 min. 	 max. 	 avg. 	  min. 	 max. 	 avg. 	 min. 	 max. 	 avg. 	  	  
4 	 (0, 0, 3) 	 0.062 	 0.090 	 0.079 	 1.000 	 1.200 	 1.087 	 0.110 	 0.600 	 0.483 	 0.006 	 0.356
5 	 (0, 0, 4) 	 0.062 	 0.090 	 0.080 	 1.000 	 1.200 	 1.084 	 0.600 	 0.800 	 0.680 	 0.006 	 0.364
7 	 (0, 1, 2) 	 0.062 	 0.090 	 0.085 	 1.200 	 1.456 	 1.281 	 0.150 	 0.400 	 0.318 	 0.007 	 0.326
8 	 (0, 1, 3) 	 0.062 	 0.090 	 0.085 	 1.200 	 1.456 	 1.281 	 0.400 	 0.600 	 0.477 	 0.007 	 0.332
9 	 (1, 0, 0) 	 0.090 	 0.118 	 0.102 	 1.000 	 1.200 	 1.102 	 0.110 	 0.150 	 0.129 	 0.010 	 0.530
12 	 (1, 0, 3) 	 0.090 	 0.118 	 0.103 	 1.000 	 1.200 	 1.096 	 0.150 	 0.600 	 0.494 	 0.010 	 0.539
13 	 (1, 0, 4) 	 0.090 	 0.118 	 0.105 	 1.000 	 1.200 	 1.094 	 0.600 	 0.800 	 0.683 	 0.011 	 0.550
16 	 (1, 1, 2) 	 0.090 	 0.118 	 0.101 	 1.200 	 1.456 	 1.331 	 0.110 	 0.400 	 0.323 	 0.010 	 0.480
17 	 (1, 1, 3) 	 0.090 	 0.118 	 0.103 	 1.200 	 1.456 	 1.323 	 0.400 	 0.600 	 0.490 	 0.010 	 0.502
18 	 (1, 1, 4) 	 0.090 	 0.118 	 0.105 	 1.200 	 1.456 	 1.316 	 0.600 	 0.800 	 0.683 	 0.011 	 0.523
21 	 (1, 2, 2) 	 0.090 	 0.118 	 0.107 	 1.456 	 1.912 	 1.603 	 0.110 	 0.400 	 0.318 	 0.011 	 0.435
22 	 (1, 2, 3) 	 0.090 	 0.118 	 0.108 	 1.456 	 1.912 	 1.594 	 0.400 	 0.600 	 0.488 	 0.011 	 0.445
23 	 (1, 2, 4) 	 0.090 	 0.118 	 0.110 	 1.456 	 1.912 	 1.592 	 0.600 	 0.800 	 0.680 	 0.012 	 0.467
25 	 (2, 0, 1) 	 0.118 	 0.155 	 0.134 	 1.000 	 1.200 	 1.099 	 0.110 	 0.250 	 0.197 	 0.018 	 0.683
26 	 (2, 0, 2) 	 0.118 	 0.155 	 0.134 	 1.000 	 1.200 	 1.097 	 0.250 	 0.400 	 0.325 	 0.018 	 0.682
27 	 (2, 0, 3) 	 0.118 	 0.155 	 0.133 	 1.000 	 1.200 	 1.093 	 0.400 	 0.600 	 0.513 	 0.017 	 0.679
28 	 (2, 0, 4) 	 0.118 	 0.155 	 0.136 	 1.000 	 1.200 	 1.091 	 0.600 	 0.800 	 0.698 	 0.018 	 0.688
30 	 (2, 1, 1) 	 0.118 	 0.155 	 0.133 	 1.200 	 1.456 	 1.329 	 0.110 	 0.250 	 0.197 	 0.018 	 0.712
31 	 (2, 1, 2) 	 0.118 	 0.155 	 0.133 	 1.200 	 1.456 	 1.327 	 0.250 	 0.400 	 0.323 	 0.018 	 0.710
32 	 (2, 1, 3) 	 0.118 	 0.155 	 0.132 	 1.200 	 1.456 	 1.324 	 0.400 	 0.600 	 0.507 	 0.017 	 0.706
